GO.Term	GO.ID	TAD	P.value	P.adjust
protein trimerization 	0070206	TAD1916|TAD1968|TAD3033|TAD2793|TAD179|TAD2176	0.0306101806745263|2.16585352202428e-05|0.0284541844124737|0.0088400300999173|0.024128247417553|0.0665607326732246	0.0453240872648565|0.000182248650023994|0.0432453463537596|0.0187104931562667|0.0385381729585917|0.0897009873916503
regulation of B cell receptor signaling pathway 	0050855	TAD170|TAD1545|TAD2582|TAD2583|TAD792|TAD1685|TAD1686|TAD3017	0.056204036174876|0.00352965277975281|0.001177856301531|0.00235440677567733|0.00470359566975587|0.00352965277975281|0.00587623680036886|0.00821761919558184	0.0763401278753237|0.0113806561590161|0.00661761116334312|0.00966148559612384|0.0134110785625271|0.0113806561590161|0.014797822599469|0.0178306831602259
regulation of cellular macromolecule biosynthetic process 	2000112	TAD2189|TAD2849|TAD1968|TAD926|TAD2310|TAD2881|TAD2953|TAD2485|TAD1551|TAD2882|TAD2888|TAD766|TAD2113|TAD1033|TAD3033|TAD2496|TAD784|TAD1466|TAD1201|TAD557|TAD842|TAD1978|TAD2930|TAD1293|TAD28|TAD1083|TAD548|TAD1846|TAD2498|TAD1773|TAD542|TAD527|TAD1027|TAD1099|TAD1100|TAD1814	0.440882632136724|1.53110246375493e-05|0.965320336315786|0.0855300326472211|0.360571217178519|0.701239867995332|0.200325407709101|0.331318729542736|0.0855300326472211|3.24555942079309e-19|4.0268191007045e-07|0.163755276694783|0.200325407709101|0.0855300326472211|0.440882632136724|0.268744775176752|0.200325407709101|0.0942661985677074|0.163755276694783|0.000459250605109414|0.200325407709101|0.200325407709101|0.235298700454842|0.300730221375523|0.488746108098745|0.609155082262818|0.268744775176752|0.0105473444624802|0.642631682287966|0.360571217178519|0.235298700454842|0.235298700454842|0.360571217178519|0.235298700454842|0.300730221375523|0.235298700454842	0.454043307722895|0.000142113722474884|0.965320336315786|0.108484784056218|0.375821963524438|0.705328730199386|0.224390472920909|0.351707574437674|0.108484784056218|2.23943600034723e-17|5.34327919131943e-06|0.194142853813403|0.224390472920909|0.108484784056218|0.454043307722895|0.289740460737436|0.224390472920909|0.117879844257844|0.194142853813403|0.00293410108819903|0.224390472920909|0.224390472920909|0.256892568534559|0.321213394348469|0.500348389596638|0.619936588143576|0.289740460737436|0.0207933362260323|0.650169883839731|0.375821963524438|0.256892568534559|0.256892568534559|0.375821963524438|0.256892568534559|0.321213394348469|0.256892568534559
regulation of chromatin silencing 	0031935	TAD1266|TAD3038|TAD1651	0.00911092605023411|8.96675664345902e-05|0.00911092605023411	0.0188219729780286|0.000644485633748617|0.0188219729780286
regulation of DNA-dependent DNA replication 	0090329	TAD2498|TAD1141|TAD1149|TAD1163	0.0189632900467833|0.00911092605023323|0.0115824836139131|0.00663370450283474	0.0314535339718292|0.0188219729780286|0.0218418572783624|0.0158976469722603
regulation of double-strand break repair via nonhomologous end joining 	2001032	TAD2189|TAD1650|TAD1133|TAD526	0.0107592596968791|0.0132270478146791|0.00993540732102827|0.00332191140436477	0.0209765052750552|0.0235304385283145|0.0197008745694486|0.0111267906262704
regulation of endopeptidase activity 	0052548	TAD1174|TAD2436|TAD1141|TAD502	0.00990351562794063|1.4220231367606e-18|1.60650294971608e-05|0.0187148648580954	0.0197008745694486|7.0085426026058e-17|0.000142113722474884|0.031342856194383
regulation of metal ion transport 	0010959	TAD2266|TAD1968|TAD2113|TAD1266|TAD1967	0.00231779680668623|0.000922310991074477|0.0127540557626121|0.0303441781043694|0.0152858065206365	0.00966148559612384|0.00548616020552922|0.0231586802005325|0.0451238855431355|0.0263680162480979
regulation of NADP metabolic process 	1902031	TAD1230|TAD1454|TAD3085	0.00242298261526996|0.00290697479171098|0.00242298261526996	0.00966148559612384|0.0105605646501116|0.00966148559612384
regulation of neurotransmitter transport 	0051588	TAD1033|TAD1126|TAD1067|TAD2800	0.00180067835428288|0.00359836327000396|0.0080795091896082|0.00449608461434436	0.00862825044760547|0.0114947715569571|0.0177543354803492|0.01292624326624
regulation of nucleic acid-templated transcription 	1903506	TAD2189|TAD2849|TAD1968|TAD926|TAD2310|TAD2881|TAD2953|TAD2485|TAD1551|TAD2882|TAD2888|TAD766|TAD2113|TAD1033|TAD3033|TAD2496|TAD784|TAD1466|TAD1201|TAD557|TAD842|TAD1978|TAD2930|TAD1293|TAD28|TAD1083|TAD548|TAD1846|TAD2498|TAD1773|TAD542|TAD527|TAD1027	0.428105224455407|1.09225229657348e-05|0.960480020796044|0.082346847955451|0.349361234555705|0.686877601551101|0.193347486673084|0.320777769937866|0.082346847955451|9.93003099844959e-20|3.09335193592494e-07|0.157922940616838|0.193347486673084|0.082346847955451|0.428105224455407|0.259795304252066|0.193347486673084|0.0881927581168224|0.157922940616838|0.000384028426491649|0.193347486673084|0.193347486673084|0.023664205695319|0.290940753463143|0.47524050142337|0.594621165434014|0.259795304252066|0.00948297192244871|0.628050431042659|0.349361234555705|0.227284142868637|0.227284142868637|0.349361234555705	0.443532439751098|0.000110831483034662|0.963272113879753|0.106006203524741|0.367468371712556|0.69290284366997|0.220148128390145|0.341568921693098|0.106006203524741|8.56465173616277e-18|4.26882567157642e-06|0.18917852261392|0.220148128390145|0.106006203524741|0.443532439751098|0.281853396122525|0.220148128390145|0.111452386631149|0.18917852261392|0.0024998076818796|0.220148128390145|0.220148128390145|0.0379727951855119|0.312693333161322|0.487970157711496|0.606935804954837|0.281853396122525|0.0194739601978857|0.637286466793286|0.367468371712556|0.25294525577316|0.25294525577316|0.367468371712556
regulation of response to biotic stimulus 	0002831	TAD1968|TAD212|TAD873	0.0358201305339477|0.00435774388410159|0.00387435535637159	0.0519241387992099|0.0128497576069662|0.0120419152968306
regulation of single stranded viral RNA replication via double stranded DNA intermediate 	0045091	TAD3071|TAD2189	1.26614420979218e-12|0.00897350297638977	2.73012345236439e-11|0.0188219729780286
regulation of sodium ion transmembrane transporter activity 	2000649	TAD548|TAD2808|TAD316|TAD1725|TAD468|TAD1382|TAD2797|TAD1296|TAD707	0.0178112397471381|0.0025635695974503|0.0025635695974503|0.0228432148791909|0.00512074448138167|0.0203303707695529|0.0152858065206365|0.0127540557626121|0.0328320267563444	0.0300814241605549|0.00971902759472916|0.00971902759472916|0.0369995733958727|0.013802006609974|0.0335597029449558|0.0263680162480979|0.0231586802005325|0.0482002094933567
regulation of transcription regulatory region DNA binding 	2000677	TAD2189|TAD2849|TAD1968|TAD2310|TAD454|TAD6|TAD2238	0.023176630682581|0.0763783899595557|0.126788135125788|0.0178744694287355|0.00539492541366582|0.0107618592280718|0.0178744694287355	0.0373641943247217|0.100959940751137|0.154020797952102|0.0300814241605549|0.0141003732402629|0.0209765052750552|0.0300814241605549
regulation of transposition 	0010528	TAD3071	1.27152154047185e-16	4.38674931462787e-15
regulation of viral process 	0050792	TAD3071|TAD2930|TAD170|TAD1767	2.47142089361165e-06|0.00746084851100592|0.0594119997034156|0.00497976004387646	2.94013864929662e-05|0.0169341627387963|0.0803809407752093|0.0135300353836591
sensory perception of bitter taste 	0050913	TAD2130|TAD703	1.46109019573274e-31|4.59860948020496e-06	2.52038058763897e-29|4.95787584584597e-05
tetrahydrofolate interconversion 	0035999	TAD2523|TAD2744	1.32772068794066e-05|0.00242298261526996	0.00012723989926098|0.00966148559612384
tetrahydrofolate metabolic process 	0046653	TAD2523|TAD2744|TAD1304	4.91788108157279e-05|0.00449608461434436|0.00539305930938261	0.000360993398540981|0.01292624326624|0.0141003732402629
