TAD	Term	P.value	P.adjust
Apelin signaling pathway	TAD2500|TAD2793|TAD2649|TAD316|TAD2148|TAD2149|TAD526|TAD527|TAD1033	0.0847892492147985|0.0684227340264977|0.0151759001805471|0.0175596001025375|0.0684227340264977|0.0684227340264977|0.0684227340264977|0.10087028972494|0.0348130720658695	0.119543551774631|0.116873426769585|0.115232122591671|0.115232122591671|0.116873426769585|0.116873426769585|0.116873426769585|0.123396384057437|0.115232122591671
Apoptosis	TAD1858|TAD1859|TAD927|TAD2148|TAD2149|TAD526|TAD527|TAD233	0.053991035039415|0.199198606048714|0.10508632533288|0.071336756540808|0.071336756540808|0.071336756540808|0.10508632533288|0.10508632533288	0.115232122591671|0.202792395333098|0.125105764779263|0.117927601361875|0.117927601361875|0.117927601361875|0.125105764779263|0.125105764779263
Arachidonic acid metabolism	TAD3017|TAD1133|TAD1773|TAD2231|TAD3018	0.0551936934831303|0.092771110477269|0.0779200072437604|0.0551936934831303|0.031916355130557	0.115232122591671|0.122416535029286|0.119065388244818|0.115232122591671|0.115232122591671
Arginine and proline metabolism	TAD1915|TAD21|TAD1027|TAD280|TAD3038|TAD744	0.107321291333756|0.0491744418887137|0.0610930891408982|0.101667044083931|0.112940671694065|0.0491744418887137	0.126402479830167|0.115232122591671|0.116002141856372|0.12385036981697|0.126789956992472|0.115232122591671
Arginine biosynthesis	TAD1915	0.0474069071797093	0.115232122591671
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	TAD842|TAD1823|TAD2583|TAD2882|TAD566|TAD454	0.0453096056533021|0.027433988604894|0.018372814585685|0.080929072987934|0.0541255231078311|0.027433988604894	0.115232122591671|0.115232122591671|0.115232122591671|0.119543551774631|0.115232122591671|0.115232122591671
Ascorbate and aldarate metabolism	TAD767	0.0540068313488012	0.115232122591671
Asthma	TAD1174	2.37588124345842e-11	6.2564872744405e-09
Autoimmune thyroid disease	TAD1174|TAD1234	1.30902808838893e-09|0.0910890764344274	1.88024034514046e-07|0.122358683260164
Autophagy	TAD1858|TAD1859|TAD526|TAD527|TAD107|TAD2496	0.0484211940194056|0.180160484599861|0.0640388484835055|0.0945152097579345|0.0945152097579345|0.109382071372992	0.115232122591671|0.184241790076233|0.116483782209881|0.122706681526324|0.122706681526324|0.126402479830167
Axon guidance	TAD2629|TAD1062|TAD1476|TAD2230	0.0458630623375273|0.0458630623375273|0.0680039323012336|0.0458630623375273	0.115232122591671|0.115232122591671|0.116873426769585|0.115232122591671
B cell receptor signaling pathway	TAD1916|TAD837|TAD2583|TAD2582|TAD2629|TAD332|TAD836|TAD1545|TAD1785|TAD212	0.120229069522423|0.0705554285579367|0.0181188031520159|0.00910023071007426|0.0181188031520159|0.0620118546878712|0.0533908633199536|0.0270564396874269|0.0359138563795918|0.0790222703044575	0.129771183839744|0.117716554510602|0.115232122591671|0.115232122591671|0.115232122591671|0.116002141856372|0.115232122591671|0.115232122591671|0.115232122591671|0.119543551774631
Bacterial invasion of epithelial cells	TAD885|TAD1374|TAD1967|TAD876	0.0188807388716129|0.0465443318541175|0.0555934173283761|0.0281887934002667	0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671
Basal cell carcinoma	TAD842|TAD1476|TAD1413|TAD1442|TAD1846	0.0397374976833624|0.0240325302046553|0.0240325302046553|0.0240325302046553|0.0853752227909422	0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.120011434172321
Basal transcription factors	TAD1012|TAD135|TAD2397	0.0671049004212343|0.0778524501891508|0.0831807295601688	0.116873426769585|0.119065388244818|0.119543551774631
Base excision repair	TAD233	0.0251192284102085	0.115232122591671
beta-Alanine metabolism	TAD548	0.0274944799445929	0.115232122591671
Bile secretion	TAD1916|TAD2143|TAD627|TAD2142|TAD2415	0.121822238973552|0.121822238973552|0.0800944213285502|0.000117928616544403|0.113628796082027	0.129860231875057|0.129860231875057|0.119543551774631|0.0046581803535039|0.126844510909847
Biosynthesis of unsaturated fatty acids	TAD627|TAD1201|TAD2498	0.0307337261586001|0.0137735480687726|0.0767413415322414	0.115232122591671|0.115232122591671|0.118923783923687
Bladder cancer	TAD28|TAD2496|TAD2498|TAD1083|TAD1670|TAD2310|TAD3081	0.0760570700261028|0.036224274903176|0.114282105037303|0.104873067838841|0.0260072021675749|0.0513541069768443|0.0412935250287653	0.118923783923687|0.115232122591671|0.127248573614474|0.125105764779263|0.115232122591671|0.115232122591671|0.115232122591671
Breast cancer	TAD842|TAD1413|TAD1442|TAD2131|TAD2303|TAD2953	0.0907453059040643|0.0554726463216257|0.0554726463216257|0.107887853041694|0.107887853041694|0.0907453059040643	0.122358683260164|0.115232122591671|0.115232122591671|0.126402479830167|0.126402479830167|0.122358683260164
Butanoate metabolism	TAD837|TAD842|TAD1163|TAD2266|TAD28	0.0283651011807244|0.0178203176949439|0.0283651011807244|0.095924781526516|0.0525467775836803	0.115232122591671|0.115232122591671|0.115232122591671|0.122935610123605|0.115232122591671
C-type lectin receptor signaling pathway	TAD837|TAD1858|TAD1859|TAD2629|TAD2148|TAD2149|TAD526|TAD527|TAD332|TAD836|TAD1510|TAD2670|TAD611	0.1018381257802|0.039464045733099|0.148834824918963|0.0264838301348975|0.0522728339423257|0.0522728339423257|0.0522728339423257|0.0773850684184714|0.0896929125545001|0.0773850684184714|0.0896929125545001|0.0649124370803096|0.0264838301348975	0.123867774236117|0.115232122591671|0.153498057031307|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.119053951413033|0.122358683260164|0.119053951413033|0.122358683260164|0.116636733975924|0.115232122591671
Caffeine metabolism	TAD1503	0.00192159826511684	0.0552022774342656
Calcium signaling pathway	TAD2583|TAD2582|TAD2629|TAD1814|TAD1815|TAD2148|TAD2149|TAD526|TAD527|TAD2266|TAD760	0.0476151497413828|0.0240963855421686|0.0476151497413828|0.136184619122638|0.0929745835665464|0.0929745835665464|0.0929745835665464|0.0929745835665464|0.136184619122638|0.145445024756336|0.0476151497413828	0.115232122591671|0.115232122591671|0.115232122591671|0.141933837871879|0.122416535029286|0.122416535029286|0.122416535029286|0.122416535029286|0.141933837871879|0.150591834282445|0.115232122591671
cAMP signaling pathway	TAD1858|TAD1859|TAD1362|TAD1785|TAD1005	0.0793324750903166|0.281664647775601|0.10435895480321|0.10435895480321|0.0271725198667008	0.119543551774631|0.282918082317514|0.125105764779263|0.125105764779263|0.115232122591671
Carbohydrate digestion and absorption	TAD2583|TAD566|TAD2582	0.0112480731852616|0.0333745220507028|0.00563957959497563	0.115232122591671|0.115232122591671|0.111381697000769
Cardiac muscle contraction	TAD1823|TAD2583|TAD2882|TAD566|TAD2433	0.0296972311866499|0.0198961931178279|0.0973062268586375|0.0585235112313578|0.104700038490346	0.115232122591671|0.115232122591671|0.122935610123605|0.116002141856372|0.125105764779263
Cell adhesion molecules (CAMs)	TAD1174|TAD454|TAD611|TAD1310|TAD1650	1.51121808333394e-06|0.0547320342034118|0.0368268931138618|0.12310668547818|0.0347138857959317	7.70233732796007e-05|0.115232122591671|0.115232122591671|0.13010818869455|0.115232122591671
Cell cycle	TAD2500|TAD2793|TAD766|TAD1670|TAD3081|TAD417	0.0769997562798115|0.0620854964125581|0.0620854964125581|0.00242845694354389|0.120345544789052|0.0315361274087178	0.118923783923687|0.116002141856372|0.116002141856372|0.0661545167379197|0.129771183839744|0.115232122591671
Cellular senescence	TAD2727|TAD2500|TAD566|TAD2298|TAD2148|TAD2149|TAD526|TAD527|TAD836|TAD233|TAD1670|TAD1118	0.0602771978319077|0.0984417790022108|0.116942396593547|0.0795560346503326|0.0795560346503326|0.0795560346503326|0.0795560346503326|0.116942396593547|0.116942396593547|0.116942396593547|0.00401305724281929|0.0984417790022108	0.116002141856372|0.122935610123605|0.128669210736632|0.119543551774631|0.119543551774631|0.119543551774631|0.119543551774631|0.128669210736632|0.128669210736632|0.128669210736632|0.0945531066321651|0.122935610123605
cGMP-PKG signaling pathway	TAD1362|TAD2649|TAD566|TAD316|TAD2148|TAD2149|TAD526|TAD527|TAD836|TAD1033|TAD1889	0.0824438885788062|0.0218172330347379|0.121095511520004|0.0212765957446808|0.0824438885788062|0.0824438885788062|0.0824438885788062|0.121095511520004|0.121095511520004|0.0421031673517032|0.0212765957446808	0.119543551774631|0.115232122591671|0.129771183839744|0.115232122591671|0.119543551774631|0.119543551774631|0.119543551774631|0.129771183839744|0.129771183839744|0.115232122591671|0.115232122591671
Chagas disease (American trypanosomiasis)	TAD837|TAD2500|TAD548|TAD1858|TAD1859	0.100903878608992|0.0643047638525222|0.0888644999684212|0.0390896164369973|0.147506090419032	0.123396384057437|0.116483782209881|0.122198355047959|0.115232122591671|0.152426175841773
Chemical carcinogenesis	TAD3017|TAD1503|TAD111	0.0713179375071793|0.0312041072412765|0.109790243861203	0.117927601361875|0.115232122591671|0.126402479830167
Chemokine signaling pathway	TAD2583|TAD2649|TAD2582|TAD1545|TAD1785|TAD1374|TAD1112|TAD2955	0.048115450398254|0.0280806632093284|0.0243527300692129|0.071302381734707|0.0939274038491326|0.116004063668146|0.0939274038491326|0.048115450398254	0.115232122591671|0.115232122591671|0.115232122591671|0.117927601361875|0.122706681526324|0.128172322094874|0.122706681526324|0.115232122591671
Cholesterol metabolism	TAD1743|TAD3079|TAD2774|TAD190	0.0501555594515783|0.0802419444083182|0.0501555594515783|0.092013219546551	0.115232122591671|0.119543551774631|0.115232122591671|0.122358683260164
Choline metabolism in cancer	TAD1743|TAD1858|TAD1859|TAD2583|TAD2582|TAD2238|TAD2237	0.0971583813017144|0.037590926203516|0.142172116129372|0.0252187020370631|0.012689054088695|0.119950097455815|0.0855443843875865	0.122935610123605|0.115232122591671|0.147687010837875|0.115232122591671|0.115232122591671|0.129771183839744|0.12003563706251
Cholinergic synapse	TAD1362|TAD2583|TAD2649|TAD566|TAD2582|TAD2148|TAD2149|TAD526|TAD527|TAD627|TAD2484|TAD2485|TAD3020	0.0562070921038219|0.0285063263469892|0.0103225838683099|0.083124862286952|0.0143552935144834|0.0562070921038219|0.0562070921038219|0.0562070921038219|0.083124862286952|0.122081224321095|0.10928157541768|0.122081224321095|0.122081224321095	0.115232122591671|0.115232122591671|0.115232122591671|0.119543551774631|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.119543551774631|0.129860231875057|0.126402479830167|0.129860231875057|0.129860231875057
Chronic myeloid leukemia	TAD3017|TAD837|TAD2500|TAD2793|TAD548|TAD1670|TAD2310	0.0662517529701067|0.0753556486435217|0.0477777802012637|0.038405999742224|0.0662517529701067|0.0477777802012637|0.0933014573195811	0.11669762507555|0.11858757455853|0.115232122591671|0.115232122591671|0.11669762507555|0.115232122591671|0.122642514613093
Circadian entrainment	TAD2583|TAD566|TAD2582|TAD526|TAD527|TAD627|TAD2484|TAD2485|TAD3020|TAD6	0.0247124207746388|0.0723382156764053|0.012432709561651|0.0488202794605933|0.0723382156764053|0.106540178141764|0.0952805181807087|0.106540178141764|0.106540178141764|0.0723382156764053	0.115232122591671|0.1185626356522|0.115232122591671|0.115232122591671|0.1185626356522|0.126092495478642|0.122880787262533|0.126092495478642|0.126092495478642|0.1185626356522
Circadian rhythm	TAD2148|TAD527|TAD1118|TAD6|TAD1466|TAD1978|TAD784	0.0158019070040715|0.023611972395112|0.0197144667479641|0.023611972395112|0.0466839921530557|0.0197144667479641|0.0197144667479641	0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671
Citrate cycle (TCA cycle)	TAD2310|TAD2309|TAD2536	0.0378145557450632|0.0152951108696761|0.0634583025988159	0.115232122591671|0.115232122591671|0.116483782209881
Cocaine addiction	TAD837|TAD1362|TAD627	0.0491744418887137|0.0248908302174723|0.0551521750613402	0.115232122591671|0.115232122591671|0.115232122591671
Collecting duct acid secretion	TAD280|TAD1121|TAD1756	0.057287311127067|0.0171882844373472|0.0374388532290734	0.115375190636324|0.115232122591671|0.115232122591671
Colorectal cancer	TAD842|TAD2500|TAD2793|TAD548|TAD1858|TAD1859|TAD927	0.0539258888382662|0.0539258888382662|0.0433757885322613|0.0746822888572957|0.0327094223730203|0.124624700714449|0.0643609758665987	0.115232122591671|0.115232122591671|0.115232122591671|0.11858757455853|0.115232122591671|0.130661597298493|0.116483782209881
Complement and coagulation cascades	TAD212|TAD2436|TAD703	1.14338712050782e-08|0.00348047878559623|0.115040392260826	1.00363980577909e-06|0.0886960722780974|0.127912610677062
Cortisol synthesis and secretion	TAD1174|TAD1362|TAD566|TAD153|TAD2148|TAD2149|TAD526|TAD527|TAD627	0.0288720523416774|0.0329168936841359|0.0489729116005262|0.000405695385438762|0.0329168936841359|0.0329168936841359|0.0329168936841359|0.0489729116005262|0.0725660061841644	0.115232122591671|0.115232122591671|0.115232122591671|0.0128225590886437|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.11858757455853
Cushing syndrome	TAD1174|TAD842|TAD1362|TAD566|TAD153|TAD2148|TAD2149|TAD526|TAD527|TAD1413|TAD1442|TAD1670	0.132281109386962|0.0954877898840031|0.0771442869966578|0.11346898682744|0.00229204444536636|0.0771442869966578|0.0771442869966578|0.0771442869966578|0.11346898682744|0.058431226358835|0.058431226358835|0.00377027544727696	0.13841334624596|0.122880787262533|0.118923783923687|0.126789956992472|0.0646683968514079|0.118923783923687|0.118923783923687|0.118923783923687|0.126789956992472|0.116002141856372|0.116002141856372|0.0916466954876554
Cysteine and methionine metabolism	TAD2143|TAD1915|TAD1670|TAD111	0.0811782839590723|0.103162586687261|0.0297673038274698|0.0643447767496383	0.119543551774631|0.124710701580621|0.115232122591671|0.116483782209881
Cytokine-cytokine receptor interaction	TAD1756|TAD2586|TAD29	0.0621859583242703|0.0340941665255899|0.0521479473947933	0.116002141856372|0.115232122591671|0.115232122591671
Cytosolic DNA-sensing pathway	TAD1916|TAD837|TAD1141|TAD1651	0.10738675696829|0.0628297162298349|0.0853752227909422|0.092771110477269	0.126402479830167|0.116164467903186|0.120011434172321|0.122416535029286
Dilated cardiomyopathy (DCM)	TAD1823|TAD2583|TAD2882|TAD566|TAD2238|TAD627|TAD454	0.0345888724721631|0.0231927883360841|0.13683628163563|0.0679940509045444|0.110762055405179|0.100255608643541|0.0345888724721631	0.115232122591671|0.115232122591671|0.142519001308039|0.116873426769585|0.126402479830167|0.123175631148363|0.115232122591671
DNA replication	TAD767	0.0713928184569396	0.117927601361875
Dopaminergic synapse	TAD1858|TAD1859|TAD1362|TAD2583|TAD566|TAD2582|TAD2148|TAD2149|TAD526|TAD527|TAD836|TAD1978|TAD784	0.0495369064318817|0.184000975790599|0.0655018590229091|0.0333013261401325|0.0966377152622144|0.0167905665214046|0.0655018590229091|0.0655018590229091|0.0655018590229091|0.0966377152622144|0.0966377152622144|0.0812006608269616|0.0812006608269616	0.115232122591671|0.187926012766093|0.116636733975924|0.115232122591671|0.122935610123605|0.115232122591671|0.116636733975924|0.116636733975924|0.116636733975924|0.122935610123605|0.122935610123605|0.119543551774631|0.119543551774631
Drug metabolism	TAD1967|TAD1503|TAD1968	0.0802586966083009|0.0409607902475928|0.650227685400167	0.119543551774631|0.115232122591671|0.650639482541016
ECM-receptor interaction	TAD506|TAD2774|TAD454|TAD1756|TAD188	0.00374485660240902|0.0810872677348138|0.0312041072412765|0.109790243861203|0.00106908026020006	0.0916466954876554|0.119543551774631|0.115232122591671|0.126402479830167|0.0324835925214635
Endocrine and other factor-regulated calcium reabsorption	TAD2583|TAD2582|TAD3038	0.0122674706878855|0.00615226864906426|0.110761728289047	0.115232122591671|0.114016399159268|0.126402479830167
Endocytosis	TAD611|TAD2955|TAD1767|TAD2243|TAD2956	0.0615738831030179|0.0615738831030179|0.119371004661808|0.0909297770162057|0.248820490750599	0.116002141856372|0.116002141856372|0.129771183839744|0.122358683260164|0.250724729200221
Endometrial cancer	TAD842	0.036630658898652	0.115232122591671
Epithelial cell signaling in Helicobacter pylori infection	TAD1916|TAD837|TAD1858|TAD1859|TAD927|TAD2629|TAD280|TAD1545|TAD1121|TAD1756	0.115433443514968|0.0676648423188625|0.0259232067042398|0.0997848295735981|0.051184030293296|0.0173565716881879|0.00935565592442875|0.0259232067042398|0.0428363157196056|0.0918585533093227	0.128033622624224|0.116873426769585|0.115232122591671|0.12317189900491|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.122358683260164
Epstein-Barr virus infection	TAD1174|TAD2727|TAD1858|TAD1859|TAD2629|TAD1545|TAD2723	7.01845072207601e-08|0.0753232396602578|0.0753232396602578|0.269062588737338|0.0508647544874338|0.0753232396602578|0.0508647544874338	4.62048005870004e-06|0.11858757455853|0.11858757455853|0.270604003949709|0.115232122591671|0.11858757455853|0.115232122591671
ErbB signaling pathway	TAD1858|TAD1859|TAD2583|TAD2582|TAD2629|TAD370|TAD876|TAD611	0.0323332398823694|0.123261364751901|0.0216719729206065|0.0108946423993849|0.0216719729206065|0.0839414012972099|0.0323332398823694|0.0216719729206065	0.115232122591671|0.130182457425137|0.115232122591671|0.115232122591671|0.115232122591671|0.119543551774631|0.115232122591671|0.115232122591671
Estrogen signaling pathway	TAD1362|TAD2148|TAD2149|TAD526|TAD527|TAD2953	0.0684227340264977|0.0684227340264977|0.0684227340264977|0.0684227340264977|0.10087028972494|0.0847892492147985	0.116873426769585|0.116873426769585|0.116873426769585|0.116873426769585|0.123396384057437|0.119543551774631
Ether lipid metabolism	TAD2238|TAD2237	0.0586668173574152|0.0414298415799623	0.116002141856372|0.115232122591671
Fat digestion and absorption	TAD1743|TAD858	0.0412935250287653|0.0463367589874283	0.115232122591671|0.115232122591671
Fatty acid biosynthesis	TAD927|TAD3079	0.00995906202828822|0.0214622199187275	0.115232122591671|0.115232122591671
Fatty acid degradation	TAD842|TAD927	0.0278887073944705|0.0333745220507028	0.115232122591671|0.115232122591671
Fatty acid elongation	TAD1174|TAD842|TAD627|TAD1201|TAD2498	0.105199296533659|0.0171882844373472|0.0307337261586001|0.0137735480687726|0.0767413415322414	0.125105764779263|0.115232122591671|0.115232122591671|0.115232122591671|0.118923783923687
Fc epsilon RI signaling pathway	TAD2727|TAD1858|TAD1859|TAD2629|TAD1545|TAD1785	0.0259232067042398|0.0259232067042398|0.0997848295735981|0.0173565716881879|0.0259232067042398|0.0344162470868672	0.115232122591671|0.115232122591671|0.12317189900491|0.115232122591671|0.115232122591671|0.115232122591671
Fc gamma R-mediated phagocytosis	TAD2583|TAD2582|TAD2629|TAD316|TAD1545|TAD1785|TAD1112	0.0231927883360841|0.0116636759805179|0.0231927883360841|0.0116636759805179|0.0345888724721631|0.0458534464694745|0.0458534464694745	0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671
Ferroptosis	TAD927|TAD836	0.0303793642714779|0.0303793642714779	0.115232122591671|0.115232122591671
Fluid shear stress and atherosclerosis	TAD2727|TAD1858|TAD1859|TAD3067|TAD1033	0.0525078751696363|0.0525078751696363|0.194161804724688|0.118283554123519|0.035316724490688	0.115232122591671|0.115232122591671|0.19779216728885|0.12911544101612|0.115232122591671
Focal adhesion	TAD1858|TAD1859|TAD506|TAD2583|TAD2582|TAD454|TAD1785|TAD188	0.0745930395589279|0.266749649587051|0.0207091803584231|0.0503651767609047|0.0255062804409124|0.0745930395589279|0.0982058085200477|0.00615295183653357	0.11858757455853|0.268448691941109|0.115232122591671|0.115232122591671|0.115232122591671|0.11858757455853|0.122935610123605|0.114016399159268
Folate biosynthesis	TAD3017|TAD744	0.0231042259831684|0.0263626339529486	0.115232122591671|0.115232122591671
FoxO signaling pathway	TAD2500|TAD2793|TAD548|TAD1858|TAD1859|TAD2298|TAD1670	0.0817995392907689|0.0659891478462581|0.112627844717725|0.0499086166757485|0.185277470157762|0.0659891478462581|0.0817995392907689	0.119543551774631|0.116636733975924|0.12674643493875|0.115232122591671|0.189107495380662|0.116636733975924|0.119543551774631
Fructose and mannose metabolism	TAD2744|TAD212	0.0209756084382271|0.0374483094936249	0.115232122591671|0.115232122591671
GABAergic synapse	TAD2583|TAD566|TAD2582|TAD627|TAD2484|TAD2485|TAD3020|TAD2171	0.0226859813061385|0.0665422342314234|0.0114073314534734|0.0981520375841486|0.0877348450267174|0.0981520375841486|0.0981520375841486|0.0043973045672641	0.115232122591671|0.116873426769585|0.115232122591671|0.122935610123605|0.121861549045527|0.122935610123605|0.122935610123605|0.0992534459468183
Galactose metabolism	TAD28|TAD75	0.0580212626546184|0.0118742369625068	0.116002141856372|0.115232122591671
Gap junction	TAD2583|TAD2582|TAD2148|TAD2149|TAD526|TAD527|TAD627	0.0224325285004608|0.0112791591899511|0.0443674300236307|0.0443674300236307|0.0443674300236307|0.0658156194682409|0.0970986136176667	0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.116636733975924|0.122935610123605
Gastric acid secretion	TAD2583|TAD2582|TAD2148|TAD2149|TAD526|TAD527|TAD627|TAD1141|TAD703	0.0191346517238717|0.00961291976416279|0.0379079580484483|0.0379079580484483|0.0379079580484483|0.0563266522528104|0.0833042208196677|0.100865036025206|0.109520551658387	0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.119543551774631|0.123396384057437|0.126402479830167
Gastric cancer	TAD842|TAD2500|TAD2793|TAD1476|TAD876|TAD1413|TAD1442|TAD1670|TAD2131	0.0919327874255275|0.0919327874255275|0.0742439372917064|0.0562128714951657|0.0562128714951657|0.0562128714951657|0.0562128714951657|0.0919327874255275|0.109285873827168	0.122358683260164|0.122358683260164|0.11858757455853|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.122358683260164|0.126402479830167
Glioma	TAD2583|TAD2582|TAD2629|TAD2238|TAD1814|TAD1815|TAD1670|TAD2310	0.0191346517238717|0.00961291976416279|0.0191346517238717|0.0921265207604515|0.0563266522528104|0.0379079580484483|0.0471612156973795|0.0921265207604515	0.115232122591671|0.115232122591671|0.115232122591671|0.122358683260164|0.115232122591671|0.115232122591671|0.115232122591671|0.122358683260164
