TAD	Term	P.value	P.adjust
TAD1362	Adrenergic signaling in cardiomyocytes|Alcoholism|Aldosterone synthesis and secretion|Amphetamine addiction|AMPK signaling pathway|cAMP signaling pathway|cGMP-PKG signaling pathway|Cholinergic synapse|Cocaine addiction|Cortisol synthesis and secretion|Cushing syndrome|Dopaminergic synapse|Estrogen signaling pathway|Glucagon signaling pathway|Hepatitis B|Human cytomegalovirus infection|Human T-cell leukemia virus 1 infection|Huntington disease|Insulin resistance|Insulin secretion|Longevity regulating pathway|Mitophagy|Parathyroid hormone synthesis, secretion and action|Prostate cancer|Relaxin signaling pathway|Thermogenesis|Thyroid hormone synthesis|TNF signaling pathway|Vasopressin-regulated water reabsorption|Viral carcinogenesis	0.0723065764576118|0.0891557856135407|0.0493140781474406|0.0344162470868672|0.0601290884495725|0.10435895480321|0.0824438885788062|0.0562070921038219|0.0248908302174723|0.0329168936841359|0.0771442869966578|0.0655018590229091|0.0684227340264977|0.0517801882419708|0.0810008123734034|0.1104805590092|0.107659115766506|0.0953552264725492|0.0542414973450748|0.0433757885322613|0.0512873505019721|0.0329168936841359|0.0532575494236703|0.0488202794605933|0.0650143795544809|0.113295306233357|0.0374097229153818|0.0552246781055047|0.0223724710165178|0.0991545037746685	0.1185626356522|0.122358683260164|0.115232122591671|0.115232122591671|0.116002141856372|0.125105764779263|0.119543551774631|0.115232122591671|0.115232122591671|0.115232122591671|0.118923783923687|0.116636733975924|0.116873426769585|0.115232122591671|0.119543551774631|0.126402479830167|0.126402479830167|0.122880787262533|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.116636733975924|0.126789956992472|0.115232122591671|0.115232122591671|0.115232122591671|0.122935610123605
TAD1374	Bacterial invasion of epithelial cells|Chemokine signaling pathway|Shigellosis	0.0465443318541175|0.116004063668146|0.0409779865169819	0.115232122591671|0.128172322094874|0.115232122591671
TAD1376	Wnt signaling pathway	0.115554396115281	0.128033622624224
TAD1382	Porphyrin and chlorophyll metabolism|Proteasome	0.042281754870251|0.0452410984849958	0.115232122591671|0.115232122591671
TAD1412	Transcriptional misregulation in cancer	0.0238400410151242	0.115232122591671
TAD1413	Basal cell carcinoma|Breast cancer|Cushing syndrome|Gastric cancer|Hepatocellular carcinoma|Hippo signaling pathway|Human papillomavirus infection|Melanogenesis|mTOR signaling pathway|Proteoglycans in cancer|Signaling pathways regulating pluripotency of stem cells|Transcriptional misregulation in cancer|Wnt signaling pathway	0.0240325302046553|0.0554726463216257|0.058431226358835|0.0562128714951657|0.0632257311089967|0.0602771978319077|0.121614061397559|0.0383404659553486|0.0573224839553889|0.0753232396602578|0.0525078751696363|0.0698373666834616|0.0595390990467471	0.115232122591671|0.115232122591671|0.116002141856372|0.115232122591671|0.116294127068934|0.116002141856372|0.129831227708205|0.115232122591671|0.115375190636324|0.11858757455853|0.115232122591671|0.116895301324227|0.116002141856372
TAD1427	Nicotinate and nicotinamide metabolism|NOD-like receptor signaling pathway	0.00384516790566514|0.0228146629069469	0.0920509892568321|0.115232122591671
TAD1442	Basal cell carcinoma|Breast cancer|Cushing syndrome|Gastric cancer|Hepatocellular carcinoma|Hippo signaling pathway|Human papillomavirus infection|Melanogenesis|mTOR signaling pathway|Proteoglycans in cancer|Signaling pathways regulating pluripotency of stem cells|Transcriptional misregulation in cancer|Wnt signaling pathway	0.0240325302046553|0.0554726463216257|0.058431226358835|0.0562128714951657|0.0632257311089967|0.0602771978319077|0.121614061397559|0.0383404659553486|0.0573224839553889|0.0753232396602578|0.0525078751696363|0.0698373666834616|0.0595390990467471	0.115232122591671|0.115232122591671|0.116002141856372|0.115232122591671|0.116294127068934|0.116002141856372|0.129831227708205|0.115232122591671|0.115375190636324|0.11858757455853|0.115232122591671|0.116895301324227|0.116002141856372
TAD1454	Glycine, serine and threonine metabolism|Glycolysis / Gluconeogenesis|Vascular smooth muscle contraction	0.0303793642714779|0.051184030293296|0.0973442950703786	0.115232122591671|0.115232122591671|0.122935610123605
TAD1466	Circadian rhythm|Hedgehog signaling pathway|Herpes simplex virus 1 infection|Lysine degradation|Protein processing in endoplasmic reticulum|Thyroid hormone synthesis|Vibrio cholerae infection	0.0466839921530557|0.0699892120586829|0.0357661456792438|0.0871241084403581|0.0255300235017386|0.108135669157077|0.0743003549019119	0.115232122591671|0.116895301324227|0.115232122591671|0.121389851266107|0.115232122591671|0.126402479830167|0.11858757455853
TAD1476	Axon guidance|Basal cell carcinoma|Gastric cancer|Hedgehog signaling pathway|Proteoglycans in cancer	0.0680039323012336|0.0240325302046553|0.0562128714951657|0.0179659275877634|0.0753232396602578	0.116873426769585|0.115232122591671|0.115232122591671|0.115232122591671|0.11858757455853
TAD1503	Caffeine metabolism|Chemical carcinogenesis|Drug metabolism|Lysosome|Sphingolipid metabolism|Sphingolipid signaling pathway	0.00192159826511684|0.0312041072412765|0.0409607902475928|0.0465597336373772|0.0179659275877634|0.045068818696661	0.0552022774342656|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671
TAD1510	C-type lectin receptor signaling pathway	0.0896929125545001	0.122358683260164
TAD1529	Proteoglycans in cancer|Signaling pathways regulating pluripotency of stem cells	0.0508647544874338|0.035316724490688	0.115232122591671|0.115232122591671
TAD153	Aldosterone synthesis and secretion|Aminoacyl-tRNA biosynthesis|Cortisol synthesis and secretion|Cushing syndrome|Glyoxylate and dicarboxylate metabolism|Ovarian steroidogenesis|Peroxisome|Steroid hormone biosynthesis	0.000921806836415279|0.0334168720252584|0.000405695385438762|0.00229204444536636|0.0152951108696761|0.00023000476232729|0.0418868795039895|0.000345527720278437	0.0285579372850224|0.115232122591671|0.0128225590886437|0.0646683968514079|0.115232122591671|0.00825926191993451|0.115232122591671|0.0116156127242539
TAD1545	B cell receptor signaling pathway|Chemokine signaling pathway|Epithelial cell signaling in Helicobacter pylori infection|Epstein-Barr virus infection|Fc epsilon RI signaling pathway|Fc gamma R-mediated phagocytosis|Kaposi sarcoma-associated herpesvirus infection|Long-term depression|NF-kappa B signaling pathway|Platelet activation|RNA transport|Viral carcinogenesis	0.0270564396874269|0.071302381734707|0.0259232067042398|0.0753232396602578|0.0259232067042398|0.0345888724721631|0.0698373666834616|0.0228969508322411|0.0360906784848624|0.0469322197422198|0.062120755008328|0.0753232396602578	0.115232122591671|0.117927601361875|0.115232122591671|0.11858757455853|0.115232122591671|0.115232122591671|0.116895301324227|0.115232122591671|0.115232122591671|0.115232122591671|0.116002141856372|0.11858757455853
TAD1550	AMPK signaling pathway	0.0153806716226609	0.115232122591671
TAD1555	MicroRNAs in cancer	0.110634363323956	0.126402479830167
TAD1574	Alcoholism|Hematopoietic cell lineage|JAK-STAT signaling pathway	0.0891557856135407|0.0488202794605933|0.0805194089225777	0.122358683260164|0.115232122591671|0.119543551774631
TAD1636	Aldosterone synthesis and secretion|Protein digestion and absorption	0.0372160103196839|0.034213177390754	0.115232122591671|0.115232122591671
TAD1650	Cell adhesion molecules (CAMs)|Neuroactive ligand-receptor interaction|Relaxin signaling pathway	0.0347138857959317|0.150839605905224|0.0283819905969054	0.115232122591671|0.155464173079096|0.115232122591671
TAD1651	Cytosolic DNA-sensing pathway|Glycine, serine and threonine metabolism|Glyoxylate and dicarboxylate metabolism	0.092771110477269|0.0598582097575062|0.045209792140921	0.122416535029286|0.116002141856372|0.115232122591671
TAD1670	Bladder cancer|Cell cycle|Cellular senescence|Chronic myeloid leukemia|Cushing syndrome|Cysteine and methionine metabolism|FoxO signaling pathway|Gastric cancer|Glioma|Hepatocellular carcinoma|Human T-cell leukemia virus 1 infection|Melanoma|Non-small cell lung cancer|p53 signaling pathway|Pancreatic cancer|Pathways in cancer|Small cell lung cancer|TGF-beta signaling pathway|Viral carcinogenesis	0.0260072021675749|0.00242845694354389|0.00401305724281929|0.0477777802012637|0.00377027544727696|0.0297673038274698|0.0817995392907689|0.0919327874255275|0.0471612156973795|0.103152104383072|0.00741666711447442|0.0453096056533021|0.0415977499999102|0.0453096056533021|0.0471612156973795|0.0401392773678643|0.058210637873356|0.0563762220021277|0.00627430642083837	0.115232122591671|0.0661545167379197|0.0945531066321651|0.115232122591671|0.0916466954876554|0.115232122591671|0.119543551774631|0.122358683260164|0.115232122591671|0.124710701580621|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.116002141856372|0.115232122591671|0.114016399159268
TAD1685	Transcriptional misregulation in cancer	0.0698373666834616	0.116895301324227
TAD1686	RNA degradation|Transcriptional misregulation in cancer	0.049625558916481|0.113678371802749	0.115232122591671|0.126844510909847
TAD170	Hematopoietic cell lineage|Olfactory transduction|Tight junction	0.000331248835671168|3.27231279174758e-07|0.00406937420948558	0.0113776773991401|1.78284627964178e-05|0.0945531066321651
TAD1743	ABC transporters|Cholesterol metabolism|Choline metabolism in cancer|Fat digestion and absorption|Mannose type O-glycan biosynthesis	0.0452410984849958|0.0501555594515783|0.0971583813017144|0.0412935250287653|0.0233521623579105	0.115232122591671|0.115232122591671|0.122935610123605|0.115232122591671|0.115232122591671
TAD1756	Collecting duct acid secretion|Cytokine-cytokine receptor interaction|ECM-receptor interaction|Epithelial cell signaling in Helicobacter pylori infection|Human papillomavirus infection|Rheumatoid arthritis|Synaptic vesicle cycle|Vibrio cholerae infection	0.0374388532290734|0.0621859583242703|0.109790243861203|0.0918585533093227|0.0762395403857181|0.121147149470647|0.104700038490346|0.0683211555407304	0.115232122591671|0.116002141856372|0.126402479830167|0.122358683260164|0.118923783923687|0.129771183839744|0.125105764779263|0.116873426769585
TAD1767	Endocytosis|mTOR signaling pathway|Transcriptional misregulation in cancer	0.119371004661808|0.0756949653554122|0.0920210119965628	0.129771183839744|0.118923783923687|0.122358683260164
TAD1773	Arachidonic acid metabolism	0.0779200072437604	0.119065388244818
TAD1780	Thyroid hormone signaling pathway	0.0148679825685721	0.115232122591671
TAD1785	B cell receptor signaling pathway|cAMP signaling pathway|Chemokine signaling pathway|Fc epsilon RI signaling pathway|Fc gamma R-mediated phagocytosis|Focal adhesion|Glycine, serine and threonine metabolism|Leukocyte transendothelial migration|Natural killer cell mediated cytotoxicity|Proteoglycans in cancer|Rap1 signaling pathway|Regulation of actin cytoskeleton|T cell receptor signaling pathway	0.0359138563795918|0.10435895480321|0.0939274038491326|0.0344162470868672|0.0458534464694745|0.0982058085200477|0.0203542740503414|0.0562070921038219|0.0655018590229091|0.0991545037746685|0.101522967107338|0.105302790395003|0.0507943206724288	0.115232122591671|0.125105764779263|0.122706681526324|0.115232122591671|0.115232122591671|0.122935610123605|0.115232122591671|0.115232122591671|0.116636733975924|0.122935610123605|0.123832633445398|0.125105764779263|0.115232122591671
TAD179	Th1 and Th2 cell differentiation	0.122400862524184	0.129961377996785
TAD1814	Aldosterone synthesis and secretion|Calcium signaling pathway|Glioma|Lysine degradation|Oxytocin signaling pathway|Phagosome|Protein export|Protein processing in endoplasmic reticulum|Purine metabolism|Tryptophan metabolism|Vibrio cholerae infection	0.0730605999341524|0.136184619122638|0.0563266522528104|0.0445377905864172|0.112076438811949|0.11137948154257|0.0175635136826847|0.120404458325026|0.0952231728464741|0.0318779084067983|0.0378527999269196	0.11858757455853|0.141933837871879|0.115232122591671|0.115232122591671|0.126450006764748|0.126450006764748|0.115232122591671|0.129771183839744|0.122880787262533|0.115232122591671|0.115232122591671
TAD1815	Aldosterone synthesis and secretion|Calcium signaling pathway|Glioma|Mitophagy|Oxytocin signaling pathway	0.0493140781474406|0.0929745835665464|0.0379079580484483|0.0329168936841359|0.076178262105553	0.115232122591671|0.122416535029286|0.115232122591671|0.115232122591671|0.118923783923687
TAD1823	Adrenergic signaling in cardiomyocytes|Arrhythmogenic right ventricular cardiomyopathy (ARVC)|Cardiac muscle contraction|Dilated cardiomyopathy (DCM)|Hypertrophic cardiomyopathy (HCM)|MAPK signaling pathway|Oxytocin signaling pathway	0.0547320342034118|0.027433988604894|0.0296972311866499|0.0345888724721631|0.0323332398823694|0.109210998994361|0.0576921614126612	0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.126402479830167|0.115804105322
TAD1834	Terpenoid backbone biosynthesis	0.0306033913818815	0.115232122591671
TAD1846	Basal cell carcinoma|Herpes simplex virus 1 infection	0.0853752227909422|0.00360961508035816	0.120011434172321|0.0905268543962839
TAD1858	Adipocytokine signaling pathway|AGE-RAGE signaling pathway in diabetic complications|Apoptosis|Autophagy|C-type lectin receptor signaling pathway|cAMP signaling pathway|Chagas disease (American trypanosomiasis)|Choline metabolism in cancer|Colorectal cancer|Dopaminergic synapse|Epithelial cell signaling in Helicobacter pylori infection|Epstein-Barr virus infection|ErbB signaling pathway|Fc epsilon RI signaling pathway|Fluid shear stress and atherosclerosis|Focal adhesion|FoxO signaling pathway|GnRH signaling pathway|Hepatitis B|Human immunodeficiency virus 1 infection|Human T-cell leukemia virus 1 infection|IL-17 signaling pathway|Inflammatory mediator regulation of TRP channels|Influenza A|Insulin resistance|Insulin signaling pathway|Kaposi sarcoma-associated herpesvirus infection|MAPK signaling pathway|Measles|Mitophagy|Necroptosis|Neurotrophin signaling pathway|NOD-like receptor signaling pathway|Non-alcoholic fatty liver disease (NAFLD)|Osteoclast differentiation|Pancreatic cancer|Pertussis|Progesterone-mediated oocyte maturation|Prolactin signaling pathway|Protein processing in endoplasmic reticulum|Ras signaling pathway|Relaxin signaling pathway|Retrograde endocannabinoid signaling|RIG-I-like receptor signaling pathway|Salmonella infection|Shigellosis|Sphingolipid signaling pathway|Th1 and Th2 cell differentiation|Th17 cell differentiation|Tight junction|TNF signaling pathway|Toll-like receptor signaling pathway|Toxoplasmosis|Tuberculosis|Type II diabetes mellitus|Wnt signaling pathway	0.0263010487497383|0.0379657447445247|0.053991035039415|0.0484211940194056|0.039464045733099|0.0793324750903166|0.0390896164369973|0.037590926203516|0.0327094223730203|0.0495369064318817|0.0259232067042398|0.0753232396602578|0.0323332398823694|0.0259232067042398|0.0525078751696363|0.0745930395589279|0.0499086166757485|0.0353399703158229|0.061383621752249|0.0793324750903166|0.0818777630426095|0.0353399703158229|0.0379657447445247|0.0643298389728526|0.0409607902475928|0.0517657142616359|0.0698373666834616|0.109210998994361|0.052136843140594|0.0247890941094617|0.0610149103296035|0.045068818696661|0.0669027160955511|0.0562128714951657|0.0480490959461599|0.0285660493034501|0.0289432075604823|0.037590926203516|0.0266787930732547|0.062120755008328|0.0865922722644238|0.0491650992496279|0.0558428072701608|0.0266787930732547|0.0327094223730203|0.0247890941094617|0.045068818696661|0.0349644701096399|0.0405867499941792|0.0639618994679266|0.0417085790798323|0.039464045733099|0.0428295333313014|0.0672698844916307|0.017585932461072|0.0595390990467471	0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.119543551774631|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.11858757455853|0.115232122591671|0.115232122591671|0.115232122591671|0.11858757455853|0.115232122591671|0.115232122591671|0.116002141856372|0.119543551774631|0.119543551774631|0.115232122591671|0.115232122591671|0.116483782209881|0.115232122591671|0.115232122591671|0.116895301324227|0.126402479830167|0.115232122591671|0.115232122591671|0.116002141856372|0.115232122591671|0.116873426769585|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.116002141856372|0.120759284562|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.116483782209881|0.115232122591671|0.115232122591671|0.115232122591671|0.116873426769585|0.115232122591671|0.116002141856372
TAD1859	Adipocytokine signaling pathway|AGE-RAGE signaling pathway in diabetic complications|Apoptosis|Autophagy|C-type lectin receptor signaling pathway|cAMP signaling pathway|Chagas disease (American trypanosomiasis)|Choline metabolism in cancer|Colorectal cancer|Dopaminergic synapse|Epithelial cell signaling in Helicobacter pylori infection|Epstein-Barr virus infection|ErbB signaling pathway|Fc epsilon RI signaling pathway|Fluid shear stress and atherosclerosis|Focal adhesion|FoxO signaling pathway|GnRH signaling pathway|Hepatitis B|Human immunodeficiency virus 1 infection|Human T-cell leukemia virus 1 infection|IL-17 signaling pathway|Inflammatory mediator regulation of TRP channels|Influenza A|Insulin resistance|Insulin signaling pathway|Kaposi sarcoma-associated herpesvirus infection|MAPK signaling pathway|Measles|Mitophagy|Necroptosis|Neurotrophin signaling pathway|NOD-like receptor signaling pathway|Non-alcoholic fatty liver disease (NAFLD)|Nucleotide excision repair|Osteoclast differentiation|Pancreatic cancer|Pertussis|Progesterone-mediated oocyte maturation|Prolactin signaling pathway|Protein processing in endoplasmic reticulum|Ras signaling pathway|Relaxin signaling pathway|Retrograde endocannabinoid signaling|RIG-I-like receptor signaling pathway|Salmonella infection|Shigellosis|Sphingolipid signaling pathway|Th1 and Th2 cell differentiation|Th17 cell differentiation|Tight junction|TNF signaling pathway|Toll-like receptor signaling pathway|Toxoplasmosis|Tuberculosis|Type II diabetes mellitus|Wnt signaling pathway	0.101181594772088|0.143508470096195|0.199198606048714|0.180160484599861|0.148834824918963|0.281664647775601|0.147506090419032|0.142172116129372|0.124624700714449|0.184000975790599|0.0997848295735981|0.269062588737338|0.123261364751901|0.0997848295735981|0.194161804724688|0.266749649587051|0.185277470157762|0.134113772966218|0.223952510378815|0.281664647775601|0.289580110500529|0.134113772966218|0.143508470096195|0.233656138403533|0.154130800719052|0.191632529254877|0.251551263562303|0.370521177792979|0.192898075197335|0.0955825870542107|0.222731670070024|0.168539376344075|0.242055440862023|0.206699717273059|0.0699892120586829|0.178876643521328|0.109520551658387|0.110903462669141|0.142172116129372|0.102576373106852|0.226388919344603|0.304068497429879|0.182722648337529|0.20545402198482|0.102576373106852|0.124624700714449|0.0955825870542107|0.168539376344075|0.132763989291964|0.152809646171171|0.23244929767661|0.156767445763701|0.148834824918963|0.160708289988792|0.24324842810096|0.0685480796393525|0.217830682862442	0.123640309156921|0.148879437131969|0.202792395333098|0.184241790076233|0.153498057031307|0.282918082317514|0.152426175841773|0.147687010837875|0.130661597298493|0.187926012766093|0.12317189900491|0.270604003949709|0.130182457425137|0.12317189900491|0.19779216728885|0.268448691941109|0.189107495380662|0.140052717307749|0.226823696409313|0.282918082317514|0.290683973691764|0.140052717307749|0.148879437131969|0.236046482530424|0.158546005947983|0.195467654114077|0.253314847946742|0.371461586873672|0.196631586330187|0.122880787262533|0.225731904240307|0.17269274618913|0.244375461061978|0.210022863853012|0.116895301324227|0.183047342463535|0.126402479830167|0.126426746765687|0.147687010837875|0.124478240790189|0.229144453917023|0.305033794247117|0.186741128313904|0.208891476664102|0.124478240790189|0.130661597298493|0.122880787262533|0.17269274618913|0.138826673118003|0.157289407785309|0.235127970761231|0.161153262398599|0.153498057031307|0.164989667434887|0.24542306283494|0.116895301324227|0.220906597511334
TAD1878	Legionellosis|Longevity regulating pathway|p53 signaling pathway|TGF-beta signaling pathway	0.0617161252505158|0.111747480791537|0.0800944213285502|0.0992043689288581	0.116002141856372|0.126450006764748|0.119543551774631|0.122935610123605
