GO.Term	GO.ID	TAD	P.value	P.adjust
activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway 	0097296	TAD1650|TAD1141	0.0121310900724217|0.00835457466494127	0.0329738890962001|0.0314857789715563
activation of GTPase activity 	0090630	TAD1155|TAD1967|TAD1133|TAD3085|TAD726|TAD766|TAD873	0.0400436903723398|0.0344216914872577|0.0676721542174165|0.0287671615154884|0.0567163444475168|0.0230799145003124|0.0456333430833284	0.0510285133357668|0.0474200695843467|0.0690763105196715|0.0436809132151573|0.0617786206064159|0.0402083296452065|0.0546963160843694
activation of JUN kinase activity 	0007257	TAD1141|TAD2415|TAD2498	0.0226358815446855|0.0266979314693152|0.0467646154734458	0.0398937778563836|0.0423916508076161|0.0555322958996836
activation of MAPK activity 	0000187	TAD2498|TAD2727|TAD711	0.0147503547522517|0.0241243167386247|0.0476715058170224	0.0344894446685106|0.0408060034296495|0.0560020834763631
activation of MAPKK activity 	0000186	TAD2194	0.0226374357685831	0.0398937778563836
activation of NF-kappaB-inducing kinase activity 	0007250	TAD1756|TAD767	0.0121310900724217|0.0175994902442345	0.0329738890962001|0.0362293494890224
activation of phospholipase C activity 	0007202	TAD1099	0.00911249937745462	0.0317221844764827
activation of protein kinase A activity 	0034199	TAD627|TAD2726	0.0099357502752635|0.014321865596731	0.0317468008020042|0.0341031232244188
activation of protein kinase activity 	0032147	TAD3071|TAD2727|TAD1767|TAD2326|TAD2716|TAD365	0.0485013932038512|0.0476562918179975|0.0630337058170558|0.0630337058170558|0.0129660643200938|0.0476562918179975	0.0565607731562518|0.0560020834763631|0.0660582807394047|0.0660582807394047|0.0335055941460385|0.0560020834763631
activation of protein kinase B activity 	0032148	TAD3071|TAD1767|TAD2238|TAD280|TAD6	0.0447760846664231|0.00828925181243256|0.0205987160091018|0.0347731289113961|0.0124089306058701	0.0541330393193209|0.0313865936270947|0.0383845153935516|0.0476818163474596|0.0330028334900394
activin receptor signaling pathway 	0032924	TAD333|TAD2500	0.00656573862759602|0.00656573862759602	0.0312226708723271|0.0312226708723271
actomyosin structure organization 	0031032	TAD2237|TAD1155|TAD3067|TAD2484|TAD333|TAD1710|TAD2649|TAD2751|TAD29|TAD858	0.0339378863396456|0.0339378863396456|0.0339378863396456|0.0386925244978241|0.0243589476121314|0.0291600645181153|0.0528184433392561|0.0243589476121314|0.0481326928847611|0.0434240898885108	0.0470294735629657|0.0470294735629657|0.0470294735629657|0.0502318784602805|0.0410328416059408|0.0440662233561855|0.05937084872049|0.0410328416059408|0.0563187518409154|0.053339775371484
acute-phase response 	0006953	TAD3067|TAD170	0.00869920054031237|0.00166865618969742	0.0317221844764827|0.0312226708723271
acute inflammatory response 	0002526	TAD3067|TAD170	0.0135040006991834|0.00403431993805085	0.0336818959107878|0.0312226708723271
acyl-CoA biosynthetic process 	0071616	TAD3038|TAD1174	0.0182812771154169|0.0306101806745265	0.0367298762150151|0.0449694487013333
acyl-CoA metabolic process 	0006637	TAD1027|TAD1163|TAD127|TAD2309|TAD2310	0.0267034210194026|0.0214189302942845|0.0293352290052756|0.0107659475968165|0.0267034210194026	0.0423916508076161|0.0389701227140805|0.0441269423689273|0.032234223274686|0.0423916508076161
acylglycerol biosynthetic process 	0046463	TAD816	0.00656573862759602	0.0312226708723271
acylglycerol catabolic process 	0046464	TAD858	0.0185574461383416	0.0369484590827856
adenylate cyclase-activating adrenergic receptor signaling pathway 	0071880	TAD1968|TAD2433	0.000144179717795768|0.0151428833571876	0.00987241391988047|0.0347545975341708
adenylate cyclase-activating G-protein coupled receptor signaling pathway 	0007189	TAD627|TAD1968|TAD1743	0.0476131757324688|0.00775670056479113|0.0424353565164048	0.0559888515749407|0.0313865936270947|0.05266020728246
adenylate cyclase-inhibiting dopamine receptor signaling pathway 	0007195	TAD1968	1.57552884636583e-05	0.00166316763844493
adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway 	0007193	TAD627|TAD1968|TAD1005|TAD1304|TAD899	0.0386165145055621|0.00427985958517599|0.00436499688214509|0.0259102806812195|0.0301639475778082	0.0502103872208579|0.0312226708723271|0.0312226708723271|0.0419103425056673|0.0446308388202118
adenylate cyclase-modulating G-protein coupled receptor signaling pathway 	0007188	TAD566|TAD1968|TAD1304|TAD899	0.0544378132205102|0.0325526291798073|0.0544378132205102|0.0632203274666078	0.0604139879240107|0.0462125127829364|0.0604139879240107|0.0662196174208375
adherens junction organization 	0034332	TAD2608	0.0477017944116799	0.0560020834763631
adipose tissue development 	0060612	TAD1118	0.00311439999025021	0.0312226708723271
adrenal gland development 	0030325	TAD2674	0.00828581544809714	0.0313865936270947
adrenergic receptor signaling pathway 	0071875	TAD1968|TAD2531	0.000144179717795768|0.00415166921024368	0.00987241391988047|0.0312226708723271
adult heart development 	0007512	TAD333|TAD1121|TAD3079	0.00311439999025021|0.00311439999025021|0.0080795091896082	0.0312226708723271|0.0312226708723271|0.0313865936270947
aerobic respiration 	0009060	TAD2266	0.0529692277591942	0.0593944317031674
aggrephagy 	0035973	TAD1133	0.00497907098859629	0.0312226708723271
alcohol catabolic process 	0046164	TAD784	0.00380543393677657	0.0312226708723271
alpha-amino acid catabolic process 	1901606	TAD21|TAD3038|TAD1785|TAD2231|TAD2673|TAD28|TAD3033	0.0214189302942845|0.0501415414524857|0.0107659475968165|0.000148139452629263|0.052711576132891|0.0397932940988202|0.0345780594051325	0.0389701227140805|0.0576639106989889|0.032234223274686|0.0100002066430707|0.05937084872049|0.050943561433164|0.0475202134542463
alpha-amino acid metabolic process 	1901605	TAD1027|TAD111	0.0212787141233772|0.0233823236264054	0.0389028484442188|0.040463877669056
alpha-beta T cell activation 	0046631	TAD842	0.00207713009225519	0.0312226708723271
alpha-linolenic acid metabolic process 	0036109	TAD927|TAD1201	0.00539305930938261|0.00359836327000396	0.0312226708723271|0.0312226708723271
ameboidal-type cell migration 	0001667	TAD2536|TAD842|TAD1476|TAD454	0.0461089973998987|0.0137824368751343|0.00829183158413649|0.00829183158413649	0.0550593148999973|0.0337719580410772|0.0313865936270947|0.0313865936270947
amide biosynthetic process 	0043604	TAD2523	0.000587969164609944	0.0261336820796367
amide transport 	0042886	TAD1174|TAD2786|TAD2787	0.0327615416717115|0.00311483129735679|2.11081916725353e-05	0.0463903581657275|0.0312226708723271|0.00205683090778339
amino acid transmembrane transport 	0003333	TAD2171	6.07709660480966e-07	0.000120755484300277
amino acid transport 	0006865	TAD2171	2.85954206960461e-06	0.00043906968686929
amino sugar biosynthetic process 	0046349	TAD1230	0.00415080717421334	0.0312226708723271
amino sugar metabolic process 	0006040	TAD127	0.0075976984729702	0.0313865936270947
aminoglycan biosynthetic process 	0006023	TAD767|TAD734	0.0498185264781664|0.00953163885049313	0.0574554395504425|0.0317468008020042
aminoglycan catabolic process 	0006026	TAD1915|TAD816|TAD28|TAD2189	0.039187909424557|0.0110381809791744|0.0327615416717121|0.0284541844124737	0.05049310192559|0.0323336971931206|0.0463903581657275|0.0435581125129922
ammonium transport 	0015696	TAD1743|TAD2673	0.0126807416961321|0.0314138597047383	0.0333137057358765|0.0455831657400471
AMP metabolic process 	0046033	TAD1650	0.00773583733120742	0.0313865936270947
amylin receptor signaling pathway 	0097647	TAD2143	0.00580690408359452	0.0312226708723271
amyloid-beta metabolic process 	0050435	TAD3020	0.0086985996485055	0.0317221844764827
amyloid fibril formation 	1990000	TAD1141	0.00608237035797743	0.0312226708723271
amyloid precursor protein catabolic process 	0042987	TAD3020	0.00497889876452851	0.0312226708723271
anaphase-promoting complex-dependent catabolic process 	0031145	TAD2716|TAD858|TAD1174|TAD1382|TAD2723|TAD432|TAD542	0.0586079635771775|0.048210283459282|0.0131935176148912|0.0429690045239193|0.0109175522864809|0.0429690045239193|0.0324008083146107	0.0630643023831648|0.0563834982777108|0.0335055941460385|0.0530193463832215|0.0323336971931206|0.0530193463832215|0.0462125127829364
anatomical structure homeostasis 	0060249	TAD1650|TAD233	0.0381216763790065|0.0144645555339082	0.0498707461441053|0.0341031232244188
androgen biosynthetic process 	0006702	TAD784|TAD153	0.00345996488210043|2.59053556604312e-06	0.0312226708723271|0.000403884421942784
androgen metabolic process 	0008209	TAD784|TAD1476|TAD153	0.00691034604447271|0.00415166921024368|1.09277100784869e-05	0.0312226708723271|0.0312226708723271|0.00128769085971379
androgen receptor signaling pathway 	0030521	TAD2953|TAD2309|TAD2310|TAD2189|TAD370	0.0137824368751343|0.0110408493760031|0.000332317378828143|0.0354499841812703|0.0219628130619409	0.0337719580410772|0.0323336971931206|0.0177247595633916|0.0480994848482168|0.0395469146612442
angiogenesis involved in wound healing 	0060055	TAD816	0.00276873924128707	0.0312226708723271
anion homeostasis 	0055081	TAD1743	0.00993609326111322	0.0317468008020042
anion transmembrane transport 	0098656	TAD127	0.0136380317505067	0.0337044039278598
anion transport 	0006820	TAD3079|TAD2143|TAD2142	0.0493022913046892|0.0529943212413696|0.000795202379658189	0.0570744139915148|0.0593944317031674|0.0312226708723271
anoikis 	0043276	TAD2496	0.00435774388410148	0.0312226708723271
anterior/posterior axis specification 	0009948	TAD1476	0.00373702036033385	0.0312226708723271
anterior/posterior pattern specification 	0009952	TAD2131	0.0140537160517434	0.0340594342600153
anterograde axonal transport 	0008089	TAD2536|TAD1149|TAD726|TAD1916	0.0359123955092232|0.0296669323098782|0.0212787141233772|0.0296669323098782	0.048484791632687|0.0442775687817835|0.0389028484442188|0.0442775687817835
anterograde synaptic vesicle transport 	0048490	TAD2536|TAD1149|TAD726|TAD1916	0.0175313484318086|0.014458575462806|0.0103475906453651|0.014458575462806	0.0362293494890224|0.0341031232244188|0.0320301343511385|0.0341031232244188
anterograde trans-synaptic signaling 	0098916	TAD1005|TAD899|TAD1823|TAD3007	0.0166285595510288|0.0054727150012222|0.0490640923739817|0.0490640923739817	0.0356632117934799|0.0312226708723271|0.0569352470076641|0.0569352470076641
antibacterial humoral response 	0019731	TAD2266	0.0657826505207068	0.067972816078157
antigen processing and presentation of endogenous peptide antigen 	0002483	TAD1174	0.0132316089115739	0.0335055941460385
antigen processing and presentation of exogenous peptide antigen 	0002478	TAD1174|TAD2774|TAD502|TAD837	2.85804159738936e-11|0.0525302722811367|0.0266157809072958|0.0525302722811367	1.37920921656875e-08|0.0592148809006718|0.0423916508076161|0.0592148809006718
antigen processing and presentation of exogenous peptide antigen via MHC class I 	0042590	TAD2716|TAD6|TAD1174|TAD1382|TAD2723|TAD432	0.0578860371688782|0.0319962090289383|0.000672749824376215|0.0424353565164048|0.0107797298873012|0.0424353565164048	0.0625524739464077|0.0458951991931013|0.0286455744547419|0.05266020728246|0.032234223274686|0.05266020728246
antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent 	0002479	TAD2716|TAD6|TAD1174|TAD1382|TAD2723|TAD432	0.0557172371211752|0.0307815651625738|0.000599831159485214|0.0408328499440374|0.0103662050797303|0.0408328499440374	0.0613204258238478|0.0450325366475431|0.0264146911200587|0.051682922902408|0.0320473222324548|0.051682922902408
antigen processing and presentation of exogenous peptide antigen via MHC class II 	0019886	TAD1174|TAD2774|TAD502|TAD837	2.85804159738936e-11|0.0525302722811367|0.0266157809072958|0.0525302722811367	1.37920921656875e-08|0.0592148809006718|0.0423916508076161|0.0592148809006718
antigen processing and presentation of peptide antigen via MHC class I 	0002474	TAD1133|TAD1174	0.023041873860757|0.06031178752262	0.0402000391874698|0.0641073688645102
antigen processing and presentation of peptide antigen via MHC class II 	0002495	TAD1174|TAD2774|TAD502|TAD837	3.10746930907055e-11|0.0530589942274085|0.0268873724862838|0.0530589942274085	1.43141336264186e-08|0.0594471915423502|0.0424220197378172|0.0594471915423502
antigen receptor-mediated signaling pathway 	0050851	TAD1174|TAD2723|TAD1033|TAD2582|TAD2583|TAD2629|TAD537	1.23014264122716e-10|0.0352969751046316|0.0352969751046316|0.01780641585256|0.0352969751046316|0.0352969751046316|0.0524772590349277	4.98650621047843e-08|0.0480843588802711|0.0480843588802711|0.036392901011535|0.0480843588802711|0.0480843588802711|0.0592012181965888
antimicrobial humoral immune response mediated by antimicrobial peptide 	0061844	TAD346	0.0400027603431565	0.0510285133357668
apical junction assembly 	0043297	TAD1858|TAD72	0.00725786888329882|0.00725786888329882	0.0312452180388064|0.0312452180388064
apoptotic cell clearance 	0043277	TAD1149|TAD1967|TAD2953|TAD280	0.0249378933457051|0.0107618592280718|0.0089759828456204|0.0302033793488733	0.041220436227747|0.032234223274686|0.0317221844764827|0.0446308388202118
apoptotic DNA fragmentation 	0006309	TAD927	0.0062206053510544	0.0312226708723271
apoptotic mitochondrial changes 	0008637	TAD1510|TAD506|TAD3079|TAD2523|TAD1878	0.0163772880801792|0.0210084981615309|0.0302075116901355|0.027915654833075|0.0210084981615309	0.0355658635586251|0.0387488814250453|0.0446308388202118|0.0431002815101622|0.0387488814250453
apoptotic nuclear changes 	0030262	TAD927	0.00952505402347026	0.0317468008020042
apoptotic process 	0006915	TAD3079|TAD1062|TAD316	0.0177122524554161|0.0317549087203615|0.0160049885678651	0.0363826355838299|0.0457727538928893|0.0353057366449163
arachidonate transport 	1903963	TAD2266	0.0154187302139782	0.0347545975341708
arachidonic acid metabolic process 	0019369	TAD1773|TAD3017	0.0347897523261413|0.0244793476075024	0.0476818163474596|0.0410768764449113
arachidonic acid secretion 	0050482	TAD2266	0.0154187302139782	0.0347545975341708
aromatic amino acid family catabolic process 	0009074	TAD2523|TAD744	0.0165086538697974|0.0110347527130006	0.0355658635586251|0.0323336971931206
Arp2/3 complex-mediated actin nucleation 	0034314	TAD381	0.000119407718481629	0.00858211219214769
artery development 	0060840	TAD2674|TAD1360	0.0132270478146801|0.0110339912622015	0.0335055941460385|0.0323336971931206
artery morphogenesis 	0048844	TAD2674|TAD1360	0.0246689507135708|0.0205987160091018	0.0410768764449113|0.0383845153935516
aspartate family amino acid biosynthetic process 	0009067	TAD1915	0.0136380317505066	0.0337044039278598
aspartate family amino acid catabolic process 	0009068	TAD1915	0.0234460605592365	0.0405342695151073
aspartate family amino acid metabolic process 	0009066	TAD1915	0.0124055072500912	0.0330028334900394
astral microtubule organization 	0030953	TAD2498	0.00952505402347026	0.0317468008020042
astrocyte activation 	0048143	TAD2882	0.0448736763964237	0.0541691288387563
astrocyte development 	0014002	TAD2674	0.00828581544809714	0.0313865936270947
asymmetric protein localization 	0008105	TAD1266	0.00663370450283518	0.0312226708723271
ATF6-mediated unfolded protein response 	0036500	TAD1174	0.0197836531395352	0.0377948361284341
ATP-dependent chromatin remodeling 	0043044	TAD876|TAD2716	0.00622318775370845|0.0226358815446855	0.0312226708723271|0.0398937778563836
ATP generation from ADP 	0006757	TAD1454|TAD212|TAD75	0.00993746552075414|0.0148706400042945|0.00498062172094116	0.0317468008020042|0.0344894446685106|0.0312226708723271
ATP metabolic process 	0046034	TAD2674|TAD233|TAD1814	0.0455961255067823|0.0230592883162386|0.0230592883162386	0.0546963160843694|0.0402000391874698|0.0402000391874698
ATP synthesis coupled electron transport 	0042773	TAD2228|TAD2571	0.00311439999025021|0.00497889876452884	0.0312226708723271|0.0312226708723271
atrial cardiac muscle cell action potential 	0086014	TAD1823	0.00269989470667631	0.0312226708723271
atrial septum development 	0003283	TAD1121	0.00449608461434436	0.0312226708723271
atrial septum morphogenesis 	0060413	TAD1121	0.00380543393677657	0.0312226708723271
atrioventricular valve development 	0003171	TAD548	0.00435774388410148	0.0312226708723271
atrioventricular valve morphogenesis 	0003181	TAD548	0.0072538548776182	0.0312452180388064
attachment of GPI anchor to protein 	0016255	TAD470	0.0019387890830489	0.0312226708723271
attachment of mitotic spindle microtubules to kinetochore 	0051315	TAD837|TAD2763|TAD792	0.00608237035797732|0.00152375653355397|0.00304540201648973	0.0312226708723271|0.0312226708723271|0.0312226708723271
auditory receptor cell differentiation 	0042491	TAD1756|TAD545	0.00532391777899277|0.000969797672032535	0.0312226708723271|0.0312226708723271
autonomic nervous system development 	0048483	TAD2674	0.0124050795079864	0.0330028334900394
autophagosome assembly 	0000045	TAD2129|TAD2726|TAD135	0.0548378330952951|0.0510208573481523|0.0548378330952951	0.0606423614783632|0.0582455073072182|0.0606423614783632
autophagosome maturation 	0097352	TAD2129|TAD2787	0.022090206621919|0.0111041019029647	0.0396223607807736|0.0323336971931206
autophagosome organization 	1905037	TAD2129|TAD2726|TAD135	0.0529943212413696|0.0493022913046892|0.0529943212413696	0.0593944317031674|0.0570744139915148|0.0593944317031674
autophagy of mitochondrion 	0000422	TAD2129|TAD1133|TAD2726	0.0381255736842347|0.0327671387162303|0.0354499841812703	0.0498707461441053|0.0463903581657275|0.0480994848482168
autophagy of nucleus 	0044804	TAD2726	0.0178726249482662	0.036392901011535
AV node cell action potential 	0086016	TAD1823	0.00145439412524406	0.0312226708723271
axon extension 	0048675	TAD611	0.00276960227416756	0.0312226708723271
axon extension involved in axon guidance 	0048846	TAD611	0.00110830178992083	0.0312226708723271
axon guidance 	0007411	TAD876|TAD1099|TAD1100|TAD1476|TAD1062|TAD611|TAD188	0.0324854238669119|0.0639220079335892|0.0843137059578301|0.0324854238669119|0.0217751805383175|0.0217751805383175|0.0535575844755312	0.0462125127829364|0.0667988728302722|0.0850607363042956|0.0462125127829364|0.0394193782735458|0.0394193782735458|0.0598078193985638
axonal transport 	0098930	TAD2536|TAD1149|TAD726|TAD1916|TAD707	0.0415897697057546|0.0343746663807963|0.0246723353172287|0.0343746663807963|0.0319579177705155	0.0521661113727479|0.0474200695843467|0.0410768764449113|0.0474200695843467|0.0458951991931013
axonal transport of mitochondrion 	0019896	TAD707	0.0080795091896082	0.0313865936270947
axoneme assembly 	0035082	TAD1234	0.0230402924725287	0.0402000391874698
axonogenesis 	0007409	TAD876|TAD1476|TAD1062	0.0456427389327113|0.0456427389327113|0.0306637363132011	0.0546963160843694|0.0546963160843694|0.0449770305106354
B cell activation 	0042113	TAD842|TAD454|TAD1033|TAD2582|TAD2583|TAD2629|TAD212|TAD2354|TAD836	0.0250381741674126|0.0150979851550597|0.0100904738663231|0.00505785353010457|0.0100904738663231|0.0100904738663231|0.0446226395691715|0.034879401745448|0.02997109718417	0.0412848774833321|0.0347545975341708|0.031955269425412|0.0312226708723271|0.031955269425412|0.031955269425412|0.054033436419403|0.0477543192010753|0.044567439305118
B cell activation involved in immune response 	0002312	TAD2354	0.00628928792440864	0.0312226708723271
B cell differentiation 	0030183	TAD280|TAD454|TAD2629|TAD212	0.0595466437795926|0.0107704123698822|0.00719297732177271|0.0319710323704813	0.0635748313263112|0.032234223274686|0.0312452180388064|0.0458951991931013
B cell homeostasis 	0001782	TAD506|TAD1033|TAD1545|TAD2656|TAD505	0.00559970915698071|0.00124679630613711|0.00186967613658851|0.00311439999025021|0.00124679630613711	0.0312226708723271|0.0312226708723271|0.0312226708723271|0.0312226708723271|0.0312226708723271
B cell proliferation 	0042100	TAD842|TAD1033|TAD212	0.0100075114773217|0.00401467027935354|0.0179438314815329	0.0317719678293165|0.0312226708723271|0.0364633623889822
B cell receptor signaling pathway 	0050853	TAD1099|TAD1033|TAD2582|TAD2583|TAD2629|TAD537|TAD3047|TAD3048	0.0424700882296769|0.0143599917225908|0.00720570913877916|0.0143599917225908|0.0143599917225908|0.0214632112403547|0.0630302409855203|0.0285157286368207	0.05266020728246|0.0341031232244188|0.0312452180388064|0.0341031232244188|0.0341031232244188|0.0390149206654267|0.0660582807394047|0.0436193802272515
barbed-end actin filament capping 	0051016	TAD2140	0.001662049526438	0.0312226708723271
base-excision repair 	0006284	TAD2189|TAD1859	0.0328320267563444|0.0303441781043694	0.0463979583250306|0.044760975387144
base conversion or substitution editing 	0016553	TAD3071	4.21490955503486e-17	4.27138934307233e-14
benzene-containing compound metabolic process 	0042537	TAD111	0.00608237035797743	0.0312226708723271
beta-catenin-TCF complex assembly 	1904837	TAD2484|TAD1710|TAD842	0.0165120639489805|6.23274324473138e-05|0.0103511634102998	0.0355658635586251|0.00489632713504712|0.0320301343511385
beta-catenin destruction complex disassembly 	1904886	TAD2131|TAD1413	0.00911249937745462|0.00456620299179022	0.0317221844764827|0.0312226708723271
bicarbonate transport 	0015701	TAD2608|TAD432|TAD545|TAD1083	0.0445184058580098|0.0225064313135566|0.00567355114226864|0.0580295166403058	0.0539717101286125|0.0398937778563836|0.0312226708723271|0.062682068013956
bicellular tight junction assembly 	0070830	TAD1858|TAD72	0.0058091140859321|0.0058091140859321	0.0312226708723271|0.0312226708723271
bile acid and bile salt transport 	0015721	TAD2415|TAD2143|TAD2142|TAD2797	0.0266979314693152|0.0287228317505852|4.95363034354354e-09|0.0124089306058701	0.0423916508076161|0.0436809132151573|1.43428828289915e-06|0.0330028334900394
bile acid biosynthetic process 	0006699	TAD2774	0.0143243331095431	0.0341031232244188
bile acid metabolic process 	0008206	TAD2774	0.00011604389811604	0.00852165843121705
biomineral tissue development 	0031214	TAD2726	0.00718477102831705	0.0312452180388064
biotin metabolic process 	0006768	TAD3020	0.0068402971466125	0.0312226708723271
bleb assembly 	0032060	TAD2266	0.013504000699184	0.0336818959107878
blood circulation 	0008015	TAD2129|TAD333|TAD506|TAD280|TAD899|TAD3079|TAD1266	0.047443732860343|0.0172041863069159|0.0307583857193212|0.0573194791243357|0.000244277774279165|0.0441293408382849|0.0408036479179534	0.0559388934039227|0.036017726447192|0.0450325366475431|0.0621789340019287|0.0140290969463819|0.0536953649221706|0.051682922902408
blood vessel endothelial cell migration 	0043534	TAD3067|TAD1510	0.00869920054031237|0.00869920054031237	0.0317221844764827|0.0317221844764827
blood vessel endothelial cell proliferation involved in sprouting angiogenesis 	0002043	TAD280	0.0070475775249591	0.0312452180388064
BMP signaling pathway 	0030509	TAD333|TAD842|TAD837|TAD1878|TAD2186|TAD2793	0.0277512985042283|0.0277512985042283|0.0440355199170598|0.0494035007064335|0.0332095841170057|0.0222625791829879	0.0430721389000428|0.0430721389000428|0.0536752416212995|0.0571132872643164|0.0466647151194864|0.0396849564538961
bone development 	0060348	TAD1149|TAD2953|TAD1118|TAD2531|TAD1376	0.032494123659798|0.0117248169511297|0.0117248169511297|0.00705099013966504|0.0140537160517434	0.0462125127829364|0.0326965588835301|0.0326965588835301|0.0312452180388064|0.0340594342600153
bone morphogenesis 	0060349	TAD1149|TAD1376	0.0154155445253334|0.00663416315157417	0.0347545975341708|0.0312226708723271
bone resorption 	0045453	TAD1574|TAD2849	0.0022155286396599|0.0241357000747304	0.0312226708723271|0.0408060034296495
brain development 	0007420	TAD432|TAD548|TAD546|TAD992	0.0641026809757191|0.0563182551027971|0.0325776782436646|0.0405562808002521	0.0669087000729156|0.061652508228243|0.0462125127829364|0.0514647319846925
brain morphogenesis 	0048854	TAD2673	0.0151428833571878	0.0347545975341708
branched-chain amino acid catabolic process 	0009083	TAD127|TAD28	0.0158945261992798|0.0216144709460864	0.0351635769070858|0.0391995126505067
branched-chain amino acid metabolic process 	0009081	TAD127	0.016645647501792	0.0356632117934799
branching involved in blood vessel morphogenesis 	0001569	TAD1174|TAD842|TAD1476|TAD548	0.0306101806745265|0.00484126627709947|0.00290737739155023|0.00677167176522186	0.0449694487013333|0.0312226708723271|0.0312226708723271|0.0312226708723271
branching involved in ureteric bud morphogenesis 	0001658	TAD1476	0.00415166921024368	0.0312226708723271
