GO.Term	GO.ID	TAD	P.value	P.adjust
acid-amino acid ligase activity 	0016881	TAD2298	0.00487867719181601	0.0371593497322587
actin-dependent ATPase activity 	0030898	TAD2649|TAD3067	0.0086093919858119|0.0054863578062897	0.0371593497322587|0.0371593497322587
actin binding 	0003779	TAD858|TAD1823|TAD1889|TAD2140|TAD2673|TAD316|TAD932	0.0158978398176565|0.0650403971312924|0.0221659830700759|0.0650403971312924|0.00928233234924328|0.0221659830700759|0.0438425269957349	0.0389361164531171|0.0737557419912396|0.0433280719793694|0.0737557419912396|0.0371593497322587|0.0433280719793694|0.0595419592553781
actin filament binding 	0051015	TAD3067|TAD1823|TAD2673|TAD932|TAD2237|TAD652	0.0750675810132779|0.0328846758660924|0.0203246502950456|0.0220441069194898|0.0750675810132779|0.0750675810132779	0.0801077952542927|0.0520652212187664|0.0420878063116292|0.0433280719793694|0.0801077952542927|0.0801077952542927
actin monomer binding 	0003785	TAD316|TAD190|TAD2176	0.00218169124705481|0.0322496915016099|0.0655481665666529	0.0346183066995902|0.0517049288710804|0.0739816649847473
actinin binding 	0042805	TAD837|TAD858|TAD1916|TAD566	0.0152609250951403|0.0171528349412595|0.0265604570752859|0.0114666714717373	0.038383538875656|0.039772998727956|0.0465767065670244|0.0371693137547275
activating transcription factor binding 	0033613	TAD1033|TAD2148|TAD2310|TAD2500|TAD454|TAD527|TAD546	0.0118337004875853|0.0235293998340772|0.0578042573538773|0.0293259952781002|0.0176987007814532|0.0350886836246247|0.0235293998340772	0.0372261306883513|0.0443797413435036|0.0689512027911926|0.0491348802764474|0.0403042028034204|0.0533985784784953|0.0443797413435036
activin binding 	0048185	TAD992	0.00435653260237878	0.0371593497322587
activin receptor binding 	0070697	TAD1878	0.00626793506613543	0.0371593497322587
acyl-CoA dehydrogenase activity 	0003995	TAD2266	0.036053737113322	0.0541266129960919
acyl-CoA hydrolase activity 	0047617	TAD1027|TAD1163	0.0147426016556027|0.0118105462426104	0.0379774733520519|0.0372261306883513
acylglycerol O-acyltransferase activity 	0016411	TAD1174|TAD2903|TAD816	0.0753996795847841|0.016983999221695|0.0121600222250833	0.0803518560710934|0.0397090686028368|0.03744401100915
adenine nucleotide transmembrane transporter activity 	0000295	TAD1149	0.0109459436203918	0.0371593497322587
adenyl-nucleotide exchange factor activity 	0000774	TAD726	0.00956181964416625	0.0371593497322587
adenyl nucleotide binding 	0030554	TAD726	0.00956181964416625	0.0371593497322587
adenyl ribonucleotide binding 	0032559	TAD876|TAD365|TAD468	0.0712850972909754|0.0712850972909754|0.0481046126017804	0.0777687811973079|0.0777687811973079|0.0628388341371926
adenylate cyclase binding 	0008179	TAD1304|TAD627	0.00522578654632688|0.00782945182216455	0.0371593497322587|0.0371593497322587
adenylate kinase activity 	0004017	TAD1650	0.00973566868632292	0.0371593497322587
adenylyltransferase activity 	0070566	TAD2266	0.0501214225401685	0.0638450118989187
ADP binding 	0043531	TAD1174|TAD2649|TAD3067|TAD1230|TAD2845|TAD3071	0.0623520774271545|0.0218679150661381|0.0139694075535145|0.00999731179831076|0.015949734450674|0.0432779798394417	0.0721575984907117|0.0431361615289999|0.0379774733520519|0.0371593497322587|0.0389361164531171|0.0593730963086556
adrenergic receptor activity 	0004935	TAD1968	0.000141853989169845	0.00443653490765978
aldehyde-lyase activity 	0016832	TAD2140	0.00183166113239919	0.0331547975126634
aldehyde dehydrogenase (NAD activity 	0004029)	TAD21|TAD2242	0.0097352452913444|0.00852317092817567	0.0371593497322587|0.0371593497322587
aldo-keto reductase (NADP activity 	0004033)	TAD21	8.05296558172733e-05	0.00284890159432255
alkali metal ion binding 	0031420	TAD2498	0.0316559663906812	0.0512095768149101
alpha-actinin binding 	0051393	TAD858|TAD2237|TAD1916|TAD566|TAD29	0.0225554368205196|0.0175859686036784|0.0348731538152364|0.015092095449749|0.0250310606049917	0.0437328235927056|0.0403042028034204|0.0532222531352759|0.038383538875656|0.0453924611643463
alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity 	0003828	TAD2143	0.00730971908736766	0.0371593497322587
alpha-tubulin binding 	0043014	TAD2176|TAD527|TAD381	0.0680816637536771|0.0135397014819247|0.026903038404212	0.0759277676384678|0.0376346596834492|0.0468577537338899
amide transmembrane transporter activity 	0042887	TAD2786|TAD2787	0.00209314428089746|8.94115223688999e-06	0.0339832039300637|0.000577319623697636
amino acid binding 	0016597	TAD1651	0.0401042569414112	0.0571499269135102
amino acid transmembrane transporter activity 	0015171	TAD2171	9.09586061432791e-06	0.000577319623697636
aminoacyl-tRNA ligase activity 	0004812	TAD1083|TAD1234|TAD153	0.0725701055115006|0.0489703099288836|0.0142371200506834	0.0786966269818182|0.0632223568209946|0.0379774733520519
aminopeptidase activity 	0004177	TAD2498|TAD2673|TAD2231|TAD2536|TAD432|TAD744	0.0661229954925914|0.057745256738341|0.0205910783613217|0.0492945916348759|0.000236614219686741|0.023498858952984	0.0745053456052926|0.0689512027911926|0.0422313912414705|0.0633200766357513|0.00671859850110511|0.0443797413435036
ammonium ion binding 	0070405	TAD1968|TAD170	7.34782186648541e-05|0.0542130433897816	0.00264276659797925|0.0664725838836072
ammonium transmembrane transporter activity 	0008519	TAD2673|TAD1743	0.0410988055532427|0.0166381221845316	0.057996908084552|0.0392936692273374
amyloid-beta binding 	0001540	TAD2143|TAD2310	0.0582619304135367|0.0419637951987458	0.0691580010079275|0.0586894815546944
androgen receptor binding 	0050681	TAD2189|TAD2953|TAD2310|TAD1651|TAD1652|TAD1653|TAD2582|TAD2583|TAD2726|TAD3033|TAD370|TAD6	0.046638129921703|0.0181955107792257|0.0360676874366914|0.043127283929306|0.00366524129505208|0.0109564238308486|0.00366524129505208|0.00731736730880694|0.046638129921703|0.046638129921703|0.0289572558178673|0.0217956320073792	0.0620117587005762|0.0403140782972987|0.0541266129960919|0.0593003665907464|0.0367887940219646|0.0371593497322587|0.0367887940219646|0.0371593497322587|0.0620117587005762|0.0620117587005762|0.0489768780535585|0.0431057541167423
anion channel activity 	0005253	TAD3067|TAD107|TAD3017	0.0396378543027665|3.60543027539777e-06|0.0396378543027665	0.0567851880838882|0.000311220741372336|0.0567851880838882
anion transmembrane transporter activity 	0008509	TAD2142|TAD2143|TAD2176|TAD1916|TAD432|TAD1743|TAD545	0.0579569048620547|0.00251372634573561|0.0121088545765737|0.073181216186733|0.0424866113123294|0.0424866113123294|0.0107923837109061	0.0689512027911926|0.0366640006181636|0.03744401100915|0.0790811539964796|0.0590585990508165|0.0590585990508165|0.0371593497322587
anion:cation symporter activity 	0015296	TAD1083|TAD432|TAD545|TAD2415	0.0759785779213652|0.0296376746628756|0.00749126283875223|0.0477236781665145	0.0804128352890172|0.0493503872858685|0.0371593497322587|0.0626542975341735
ankyrin binding 	0030506	TAD566	0.00939001236713943	0.0371593497322587
annealing activity 	0097617	TAD2143	0.0145697968171986	0.0379774733520519
annealing helicase activity 	0036310	TAD2143	0.00852317092817578	0.0371593497322587
arginine N-methyltransferase activity 	0016273	TAD3033	0.0112914646881228	0.0371593497322587
armadillo repeat domain binding 	0070016	TAD842|TAD2380	0.00392156385296982|0.00782945182216432	0.0371593497322587|0.0371593497322587
aryl hydrocarbon receptor binding 	0017162	TAD1978	0.0034864430963093	0.0367887940219646
arylsulfatase activity 	0004065	TAD2953|TAD2726	0.00522601423875935|0.0135355863538267	0.0371593497322587|0.0376346596834492
aspartic-type endopeptidase activity 	0004190	TAD2266|TAD2481|TAD927	0.0501214225401685|0.0181828931055127|0.0109478471215653	0.0638450118989187|0.0403140782972987|0.0371593497322587
aspartic-type peptidase activity 	0070001	TAD927	0.00887027994970369	0.0371593497322587
aspartic endopeptidase activity, intramembrane cleaving 	0042500	TAD2266|TAD2481	0.0145748571628947|0.00522578654632688	0.0379774733520519|0.0371593497322587
AT DNA binding 	0003680	TAD2189|TAD1033	0.00791644500777156|0.00122142721344098	0.0371593497322587|0.0266316185680929
ATP-dependent 3'-5' DNA helicase activity 	0043140	TAD2143	0.00852317092817578	0.0371593497322587
ATP-dependent DNA helicase activity 	0004003	TAD2143|TAD2189|TAD2155	0.033689675156518|0.031320022932344|0.00731322187176464	0.052275918968484|0.0509397512105595|0.0371593497322587
ATP-dependent helicase activity 	0008026	TAD816|TAD1059|TAD2155|TAD2716|TAD2956	0.0365488723533831|0.0293462913639405|0.0220905033739603|0.0786684103814677|0.0648347961751192	0.0546208217026321|0.0491348802764474|0.0433280719793694|0.082141947830004|0.073599942212471
ATP-dependent microtubule motor activity, plus-end-directed 	0008574	TAD2266|TAD3071	0.0731287314293778|0.0579076186207689	0.0790640292708406|0.0689512027911926
ATP-dependent RNA helicase activity 	0004004	TAD816|TAD2189|TAD1059|TAD2716|TAD2956	0.0288997750248631|0.0734370287127769|0.0231864175368639|0.0624950737859529|0.0514258542780358	0.0489768780535585|0.0792385539810863|0.0442407507025219|0.0721575984907117|0.0647096172198258
ATP-gated ion channel activity 	0035381	TAD2266	0.000120004810093823	0.00398415969511491
ATP binding 	0005524	TAD876|TAD2266|TAD365|TAD468	0.0652907209874822|0.127950440555996|0.0652907209874822|0.0440131932113537	0.0738069019858495|0.128486296286571|0.0738069019858495|0.059736145251636
ATPase-coupled anion transmembrane transporter activity 	0043225	TAD2143|TAD1916	0.0145697968171986|0.0145697968171986	0.0379774733520519|0.0379774733520519
ATPase activator activity 	0001671	TAD2303	0.0119852690035354	0.03744401100915
ATPase activity 	0016887	TAD876|TAD1773|TAD2986	0.0522145350760642|0.0127977541964387|0.0855078369912509	0.064944440997566|0.0376346596834492|0.0866739411545979
ATPase activity, coupled 	0042623	TAD1059|TAD3067|TAD2155|TAD2986|TAD2943	0.0324152801672219|0.0560424615991527|0.0244102666428181|0.0403553031846192|0.00820315908892577	0.0518266276003187|0.0678284439922344|0.0449082313855085|0.0573316288824281|0.0371593497322587
ATPase activity, coupled to movement of substances 	0043492	TAD2143|TAD1916|TAD1743|TAD2726|TAD2727|TAD2797	0.0663228771583722|0.0663228771583722|0.0384452327679129|2.90090546537285e-09|7.01535499473399e-05|0.0289722606027367	0.0745053456052926|0.0745053456052926|0.0557559222534651|4.47153856733901e-07|0.00261019587562689|0.0489768780535585
ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism 	0015662	TAD280|TAD2849|TAD707	0.0321637059870856|0.0812263483126016|0.000270969509528569	0.0516660315544976|0.0838290098797676|0.00749682309695707
ATPase activity, coupled to transmembrane movement of ions, rotational mechanism 	0044769	TAD280|TAD1121	0.0364734570203579|0.010862850041691	0.0545837172329628|0.0371593497322587
ATPase activity, coupled to transmembrane movement of substances 	0042626	TAD2143|TAD1916|TAD1743|TAD2726|TAD2727|TAD1121	0.0536267088941951|0.0536267088941951|0.0309972609257515|9.33824618256886e-10|4.51276682041455e-05|0.0194849832886962	0.0659034383790848|0.0659034383790848|0.0507558126771016|1.55014886630643e-07|0.00187279823047204|0.0412645671609484
ATPase binding 	0051117	TAD1529|TAD1743|TAD1266|TAD1756	0.0109659745885562|0.0431587274051173|0.0640453288925883|0.0588661330840888	0.0371593497322587|0.0593003665907464|0.0731656007147726|0.069645348243127
ATPase coupled ion transmembrane transporter activity 	0042625	TAD2143|TAD1916|TAD707|TAD1121	0.0289422718210183|0.0289422718210183|0.000323341580900733|0.0104301566252615	0.0489768780535585|0.0489768780535585|0.00861445841461458|0.0371593497322587
ATPase regulator activity 	0060590	TAD726|TAD2303|TAD1266	0.0326838394559429|0.0197370676737348|0.0390946374377998	0.0520118880051898|0.0415358596108636|0.0563215490029633
AU-rich element binding 	0017091	TAD557|TAD1083	0.0289410240914354|0.0378202811569895	0.0489768780535585|0.0553329943978193
basal RNA polymerase II transcription machinery binding 	0001099	TAD2189|TAD2953|TAD1510	0.0302172258658867|0.0117277828018859|0.0163817137069949	0.0500835433322454|0.0372261306883513|0.03906269412121
beta-galactoside (CMP alpha-2,3-sialyltransferase activity 	0003836)	TAD346	0.00730940087447263	0.0371593497322587
beta-glucosidase activity 	0008422	TAD767|TAD2498	0.00835032031690575|0.0119852690035349	0.0371593497322587|0.03744401100915
beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity 	0003831	TAD2958	0.00183166113239919	0.0331547975126634
beta-tubulin binding 	0048487	TAD2176|TAD527|TAD2129	0.0706085130866286|0.0140573925333641|0.0325048490444312	0.0774311066425402|0.0379774733520519|0.0518686419053234
bHLH transcription factor binding 	0043425	TAD2148|TAD2500|TAD527|TAD2490	0.00765846534542691|0.00956431552110548|0.0114666714717373|0.0114666714717373	0.0371593497322587|0.0371593497322587|0.0371693137547275|0.0371693137547275
bicarbonate transmembrane transporter activity 	0015106	TAD2176|TAD1083|TAD432|TAD545	0.0579076186207693|0.0395868289884024|0.0152609250951403|0.00383625786080988	0.0689512027911926|0.0567851880838882|0.038383538875656|0.0371593497322587
bile acid binding 	0032052	TAD2266	0.019387461326288	0.0412645671609484
bile acid transmembrane transporter activity 	0015125	TAD2142|TAD2143|TAD2415	8.31549290135395e-10|0.019382423932975|0.0180097309131084	1.55014886630643e-07|0.0412645671609484|0.0403140782972987
bile acid:sodium symporter activity 	0008508	TAD2415	0.00678907733164458	0.0371593497322587
bioactive lipid receptor activity 	0045125	TAD2310	0.00696224567918879	0.0371593497322587
bitter taste receptor activity 	0033038	TAD2130	4.71737364550609e-34	5.09004616350108e-31
BMP receptor binding 	0070700	TAD1149	0.0145697968171986	0.0379774733520519
C-C chemokine binding 	0019957	TAD170	0.0337114338799398	0.052275918968484
C2H2 zinc finger domain binding 	0070742	TAD842|TAD2189	0.00522601423875935|0.0135355863538267	0.0371593497322587|0.0376346596834492
cadherin binding involved in cell-cell adhesion 	0098641	TAD2484	0.0131919650847613	0.0376346596834492
calcium-activated potassium channel activity 	0015269	TAD1889|TAD1916|TAD1743	0.0015708176978797|0.0217805445414375|0.0125014670283173	0.0308811299399743|0.0431057541167423|0.03744401100915
calcium-dependent phospholipase A2 activity 	0047498	TAD2266	0.0169839992216952	0.0397090686028368
calcium-dependent phospholipid binding 	0005544	TAD2143|TAD2571	0.0559469612679516|0.0323551800806169	0.0677517073042871|0.0517970909599193
calcium-dependent protein serine/threonine kinase activity 	0009931	TAD2582|TAD2583	0.000959944148704261|0.0019190505035972	0.0225169507924326|0.0339832039300637
calcium-dependent protein serine/threonine phosphatase activity 	0004723	TAD332|TAD836	0.00426940214550176|0.00366044581272362	0.0371593497322587|0.0367887940219646
calcium-release channel activity 	0015278	TAD2148|TAD527|TAD2149|TAD526	0.0080055289231673|0.0119852690035354|0.0080055289231673|0.0080055289231673	0.0371593497322587|0.03744401100915|0.0371593497322587|0.0371593497322587
calcium-transporting ATPase activity 	0005388	TAD2849|TAD707	0.0524645980201072|0.000107293616822032	0.0650215783325174|0.00373451008228942
calcium activated cation channel activity 	0005227	TAD1889|TAD1916|TAD1743	0.0020071559472904|0.0277520417216917|0.015949734450674	0.0339832039300637|0.0478345894851532|0.0389361164531171
calcium channel activity 	0005262	TAD1823|TAD652|TAD566|TAD2583|TAD2481|TAD2882|TAD760	0.0241526965292853|0.055460746415703|0.0477281627375924|0.0161666177522021|0.0782877484987461|0.0600549925182602|0.0161666177522021	0.0447530048952949|0.0672385621168417|0.0626542975341735|0.03906269412121|0.0820519481594434|0.0706259803021283|0.03906269412121
calcium channel inhibitor activity 	0019855	TAD527|TAD526	0.00522578654632688|0.00348659510356031	0.0371593497322587|0.0367887940219646
calcium channel regulator activity 	0005246	TAD527|TAD526|TAD760|TAD1967	0.0135397014819247|0.00904617345002368|0.00453296719408114|0.0135397014819247	0.0376346596834492|0.0371593497322587|0.0371593497322587|0.0376346596834492
calcium ion binding 	0005509	TAD760|TAD1476|TAD2306|TAD2541|TAD2542	0.048955887276884|0.0725306911534104|0.0398764798621168|0.0247840125665416|0.26014581386615	0.0632223568209946|0.0786934296174256|0.0570268015523181|0.0452265950033433|0.260628907299513
calcium ion transmembrane transporter activity 	0015085	TAD1823|TAD652|TAD566|TAD2148|TAD527|TAD2481|TAD707|TAD2149|TAD526	0.0200254069995305|0.0461114262432649|0.0396549019659034|0.0266121775705009|0.0396549019659034|0.0652250315321715|0.00331359878964757|0.0266121775705009|0.0266121775705009	0.041915449374381|0.0615347086542047|0.0567851880838882|0.0465767065670244|0.0567851880838882|0.0738069019858495|0.0367887940219646|0.0465767065670244|0.0465767065670244
calcium:cation antiporter activity 	0015368	TAD2498|TAD2415	0.0238330651319556|0.0135355863538267	0.0446068990067304|0.0376346596834492
calcium:sodium antiporter activity 	0005432	TAD2415	0.00678907733164458	0.0371593497322587
calmodulin-dependent protein kinase activity 	0004683	TAD2266|TAD1814|TAD1815	0.0639910351400093|0.0140573925333641|0.00939287294326263	0.0731656007147726|0.0379774733520519|0.0371593497322587
cAMP-dependent protein kinase inhibitor activity 	0004862	TAD2726|TAD1574	0.0101676375517183|0.00313834649098099	0.0371593497322587|0.0367887940219646
cAMP-dependent protein kinase regulator activity 	0008603	TAD2726	0.00791644500777156	0.0371593497322587
cAMP response element binding 	0035497	TAD2189	0.00791644500777156	0.0371593497322587
carbon-nitrogen ligase activity, with glutamine as amido-N-donor 	0016884	TAD2266	0.0241773972310356	0.0447530048952949
carbonate dehydratase activity 	0004089	TAD2608	0.0166352366164249	0.0392936692273374
carboxy-lyase activity 	0016831	TAD280|TAD370|TAD3061|TAD548	0.0379060222845393|0.0180136336720292|0.00904617345002368|0.0157791119212387	0.0553833419702342|0.0403140782972987|0.0371593497322587|0.0387828286173498
carboxylic acid binding 	0031406	TAD2076	0.0292893042422836	0.0491348802764474
carboxylic acid transmembrane transporter activity 	0046943	TAD2171|TAD2726	1.36283459673036e-05|0.0702582879829922	0.000754101810190797|0.0772124544125673
carboxylic ester hydrolase activity 	0052689	TAD2571|TAD470	0.0697071436577906|0.0354769856220853	0.0769144071651757|0.0537510367115279
carboxypeptidase activity 	0004180	TAD2673|TAD1916|TAD2306|TAD1454	0.00206313233585809|0.046634141016945|0.0433746276917633|0.0202520468869348	0.0339832039300637|0.0620117587005762|0.059430124799254|0.0420878063116292
CARD domain binding 	0050700	TAD1725	0.0109459436203918	0.0371593497322587
cardiolipin binding 	1901612	TAD707|TAD873	0.00791644500777156|0.004878039430254	0.0371593497322587|0.0371593497322587
caspase binding 	0089720	TAD2484|TAD2485|TAD2774	0.00765613178579816|0.00860939198581212|0.00765613178579816	0.0371593497322587|0.0371593497322587|0.0371593497322587
cation-transporting ATPase activity 	0019829	TAD707	0.000474120417024078	0.0124774617065605
cation channel activity 	0005261	TAD1823|TAD566|TAD2266|TAD1636	0.0377415455151493|0.0740680562814804|0.0491072373679271|0.0377415455151493	0.0553329943978193|0.0796922321874219|0.0632223568209946|0.0553329943978193
cation transmembrane transporter activity 	0008324	TAD652|TAD566|TAD707	0.0577857650373657|0.0497376159715528|0.00520576511408527	0.0689512027911926|0.0636240517288743|0.0371593497322587
cation:amino acid symporter activity 	0005416	TAD2171	0.00470423417995813	0.0371593497322587
cation:cation antiporter activity 	0015491	TAD837	0.004878039430254	0.0371593497322587
CDP-alcohol phosphatidyltransferase activity 	0017169	TAD2237|TAD2238	0.00426940214550176|0.00609435741287101	0.0371593497322587|0.0371593497322587
ceramidase activity 	0017040	TAD1503	0.00157013230998848	0.0308811299399743
cGMP binding 	0030553	TAD1968|TAD858	0.0635805317483554|0.00782945182216455	0.0728273819070865|0.0371593497322587
channel activity 	0015267	TAD2523	0.0289447677122816	0.0489768780535585
chemokine activity 	0008009	TAD2608	0.062370596183722	0.0721575984907117
chemokine binding 	0019956	TAD454|TAD170	0.00444443794944982|0.0703069846713135	0.0371593497322587|0.0772124544125673
chemokine receptor binding 	0042379	TAD2608	0.066308831454611	0.0745053456052926
chloride channel activity 	0005254	TAD3067|TAD107|TAD3017	0.0366828960434992|2.83844782097446e-06|0.0366828960434992	0.0546696751808503|0.000255223766569287|0.0546696751808503
chloride channel inhibitor activity 	0019869	TAD2649|TAD2113	0.0086093919858119|0.00392156385296982	0.0371593497322587|0.0371593497322587
chloride ion binding 	0031404	TAD1141	0.00670203838921102	0.0371593497322587
chloride transmembrane transporter activity 	0015108	TAD3067|TAD107|TAD3017	0.0337201479166496|2.18836699234113e-06|0.0337201479166496	0.052275918968484|0.000205325911716181|0.052275918968484
cholesterol binding 	0015485	TAD190|TAD1916|TAD1743|TAD548|TAD2774|TAD1376|TAD3079	0.054865517780475|0.0513011621643166|0.0296376746628756|0.0259804233709571|0.0296376746628756|0.0223097098043449|0.0477236781665145	0.066870856220661|0.0646280840342062|0.0493503872858685|0.0460688197489937|0.0493503872858685|0.0434515828138775|0.0626542975341735
cholesterol transporter activity 	0017127	TAD1743|TAD3079	0.0118105462426104|0.0191253363922775	0.0372261306883513|0.0412645671609484
choline transmembrane transporter activity 	0015220	TAD1743	0.004878039430254	0.0371593497322587
chondroitin sulfotransferase activity 	0034481	TAD2242	0.00366044581272307	0.0367887940219646
co-SMAD binding 	0070410	TAD2500	0.00435653260237878	0.0371593497322587
CoA hydrolase activity 	0016289	TAD1027|TAD1163	0.0147426016556027|0.0118105462426104	0.0379774733520519|0.0372261306883513
collagen binding 	0005518	TAD652|TAD2380|TAD1293	0.0313443292165949|0.0444807469088184|0.0357426958670262	0.0509397512105595|0.0601344486472577|0.0537510367115279
complement component C1q binding 	0001849	TAD170	0.000632653169166759	0.0156927073455387
complement receptor activity 	0004875	TAD2882|TAD212	0.000134279966974537|3.00501856889517e-05	0.00437748449874006|0.00144107334926128
copper ion binding 	0005507	TAD1916|TAD6|TAD1915	0.0489703099288836|0.0212813289747861|0.0625267094920908	0.0632223568209946|0.0428006597647608|0.0721575984907117
core promoter binding 	0001047	TAD2112|TAD2310|TAD3017|TAD1978|TAD542|TAD784	0.0251827050379662|0.0815276496160789|0.0577857650373657|0.0416214364126233|0.0497376159715528|0.0416214364126233	0.0456291162652653|0.0840595642004292|0.0689512027911926|0.0584040900250902|0.0636240517288743|0.0584040900250902
core promoter proximal region DNA binding 	0001159	TAD2176|TAD2500|TAD1149|TAD1978|TAD233|TAD2793	0.0579076186207693|0.00956431552110548|0.0265604570752859|0.00956431552110548|0.0114666714717373|0.00765846534542691	0.0689512027911926|0.0371593497322587|0.0465767065670244|0.0371593497322587|0.0371693137547275|0.0371593497322587
core promoter proximal region sequence-specific DNA binding 	0000987	TAD1033|TAD365|TAD2536|TAD1360	0.0479343119689158|0.0710358447674357|0.0627811909733869|0.0232073285907503	0.0626542975341735|0.0776572203688583|0.0722184488915613|0.0442415327728261
core promoter sequence-specific DNA binding 	0001046	TAD2112|TAD1149|TAD2076|TAD542|TAD179	0.018991769466969|0.0856334897788564|0.0619334286497265|0.0376276998408902|0.067914637463472	0.0412450937203313|0.0867184753368241|0.0719585353683921|0.0553137440440334|0.0758310213596061
coreceptor activity involved in Wnt signaling pathway 	0071936	TAD2131|TAD75	0.00418245396196593|0.00209314428089746	0.0371593497322587|0.0339832039300637
coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway 	1904929	TAD75	0.00157013230998848	0.0308811299399743
cuprous ion binding 	1903136	TAD6	0.0031382096525836	0.0367887940219646
cyclic-nucleotide phosphodiesterase activity 	0004112	TAD858	0.00782945182216455	0.0371593497322587
cyclic nucleotide binding 	0030551	TAD858	0.0163788718223927	0.03906269412121
cyclin-dependent protein kinase activity 	0097472	TAD2231|TAD1412|TAD1413	0.0205910783613217|0.00296710009599455|0.0088756876653846	0.0422313912414705|0.0367887940219646|0.0371593497322587
cyclin-dependent protein serine/threonine kinase activity 	0004693	TAD2231|TAD1412|TAD1413	0.0199906875695297|0.00287983244611223|0.00861539063859629	0.0418834017233448|0.0367887940219646|0.0371593497322587
cyclin-dependent protein serine/threonine kinase inhibitor activity 	0004861	TAD1670	6.84510828710709e-06	0.000461616990111784
cyclin-dependent protein serine/threonine kinase regulator activity 	0016538	TAD1670	5.32335087686434e-05	0.00208868930768604
cysteine-type endopeptidase activator activity involved in apoptotic process 	0008656	TAD927	0.0083503203169063	0.0371593497322587
cysteine-type endopeptidase activity 	0004197	TAD2481|TAD927|TAD1773|TAD2186	0.0685062357832943|0.041678544318183|0.0685062357832943|0.041678544318183	0.076125878898223|0.0584040900250902|0.076125878898223|0.0584040900250902
cysteine-type endopeptidase activity involved in apoptotic process 	0097153	TAD927	0.0083503203169063	0.0371593497322587
cysteine-type endopeptidase activity involved in execution phase of apoptosis 	0097200	TAD927	0.00730971908736788	0.0371593497322587
